restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
배스킨라빈스,31 Yogurt 31요거트,아이스크림,115,,198,5,26,4,67,,
배스킨라빈스,Woody’s Fruits Adventure 우디의 후르츠 어드벤처,아이스크림,115,,162,0,28,0.4,11,,
배스킨라빈스,Buzz’s Apple Lychee Beam 버즈의 애플 리치 빔,아이스크림,115,,204,2,31,2.0,26,,
배스킨라빈스,Melong Melon 메롱 멜론,아이스크림,115,,218,2,25,3.8,41,,
배스킨라빈스,Green Tea 그린티,아이스크림,115,,250,4,22,8,73,,
배스킨라빈스,Rainbow Sherbet 레인보우 샤베트,아이스크림,115,,163,1,25,1.2,15,,
배스킨라빈스,GUM-GUM BLUEBERRY MACARON 고무고무 블루베리 마카롱,아이스크림,115,,243,3,28,6,67,,
배스킨라빈스,Blue Surfer Beach 블루 서퍼 비치,아이스크림,115,,277,4,19,10,175,,
배스킨라빈스,Tropical Colada 트로피컬 콜라다,아이스크림,115,,177,1,26,1.2,16,,
배스킨라빈스,HULA HULA COCONUT 훌라훌라 코코넛,아이스크림,115,,248,3,27,8,96,,
배스킨라빈스,BERRY & SWEET MILK 산딸기가 끌리는 연유,아이스크림,115,,189,2,26,3.1,38,,
배스킨라빈스,BISCOFF ESPRESSO CRUNCH 비스코프 에스프레소 크런치,아이스크림,115,,297,4,25,8,140,,
배스킨라빈스,SALTY RICE SYRUP NEW YORK CHEESE CAKE 솔티 조청 뉴욕치즈케이크,아이스크림,115,,301,4,23,11,118,,
배스킨라빈스,Very Berry Strawberry 베리베리 스트로베리,아이스크림,115,,228,3,24,7,69,,
배스킨라빈스,Shooting Star 슈팅스타,아이스크림,115,,260,3,27,7,65,,
배스킨라빈스,Almond Bon Bon 아몬드 봉봉,아이스크림,115,,312,5,26,8,94,,
배스킨라빈스,Puss In Boots 엄마는 외계인,아이스크림,115,,296,5,23,11,114,,
배스킨라빈스,Oreo Cookie´s n Cream 오레오 쿠키 앤 크림,아이스크림,115,,254,4,20,8,92,,
배스킨라빈스,Cherries Jubilee 체리쥬빌레,아이스크림,115,,239,3,28,7,48,,
배스킨라빈스,Chocolate 초콜릿,아이스크림,115,,274,5,24,8,85,,
배스킨라빈스,Chocolate Mousse 초콜릿 무스,아이스크림,115,,318,5,27,12,96,,
배스킨라빈스,Pistachio Almond 피스타치오 아몬드,아이스크림,115,,302,7,27,8,72,,
배스킨라빈스,New York CheeseCake 뉴욕 치즈케이크,아이스크림,115,,275,4,21,10,105,,
배스킨라빈스,Mint Chocolate Chip 민트 초콜릿 칩,아이스크림,115,,259,4,23,9,81,,
배스킨라빈스,Vanilla 바닐라,아이스크림,115,,246,4,21,8,74,,
배스킨라빈스,(Lessly Edition) Puss In Boots (Lessly Edition) 엄마는 외계인,아이스크림,115,,156,5,14,3.8,57,,
배스킨라빈스,Love Struck Strawberry 사랑에 빠진 딸기,아이스크림,115,,292,4,26,8,103,,
배스킨라빈스,Twinberry CheeseCake 바람과 함께 사라지다,아이스크림,115,,269,4,25,8,95,,
배스킨라빈스,ICE PISTACHIO & CHOCOLATE WITH KADAYIF 두바이에서 온 엄마는 외계인,아이스크림,115,,295,5,24,8,153,,
배스킨라빈스,BANANA BERRY VANILLA (Lessly Edition) 바 베 바,아이스크림,115,,135,3,17,1.7,45,,
