restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
BHC,스윗칠리킹 반반,치킨,,22900,266.4,22.8,2.6,1.8,324,,per_100g,
BHC,맛초킹(반)+치즈볼 +콜라245ml,치킨,,18000,275.6,19.3,4.3,2.5,345.7,,per_100g,
BHC,후라이드(반)+뿌링치즈볼 +콜라245ml,치킨,,18000,287.5,23,0.4,2.7,246.8,,per_100g,
BHC,[제주한정]동글락 바삭치킨,치킨,,26000,361.2,20,0.7,3.4,390.4,,per_100g,
BHC,골드킹(반)+치즈볼 +콜라245ml,치킨,,18000,291.1,20.8,1.6,2.7,315.5,,per_100g,
BHC,스윗칠리톡,치킨,,20000,40,0.7,6,0.1,730,,per_100g,
BHC,버터비스킷톡,치킨,,20000,50,0.6,7,1.4,320,,per_100g,
BHC,트리플페퍼톡,치킨,,20000,45,1.2,3,0.6,420,,per_100g,
BHC,뿌링클(반)+치즈볼 +콜라245ml,치킨,,19000,345.1,19.7,1.9,4.2,500.8,,per_100g,
BHC,미니콜팝,BHC시그니처,,4000,280.9,17.6,0.5,3.4,518.1,,per_100g,
BHC,왕콜팝,BHC시그니처,,5500,280.9,17.6,0.5,3.4,518.1,,per_100g,
BHC,동글락 바삭 콜팝(Mini),BHC시그니처,,6500,356.3,17.4,4.2,3.1,769.6,,per_100g,
BHC,콜팝치킨,BHC시그니처,,4000,280.9,17.6,0.5,3.4,518.1,,per_100g,
BHC,빅콜팝,BHC시그니처,,12500,280.9,17.6,0.5,3.4,518.1,,per_100g,
BHC,동글락 바삭 콜팝(Regular),BHC시그니처,,6500,356.3,17.4,4.2,3.1,769.6,,per_100g,
BHC,뿌링미니콜팝,BHC시그니처,,5000,281.6,17.2,2.1,3.3,552.1,,per_100g,
BHC,뿌링왕콜팝,BHC시그니처,,7000,281.6,17.2,2.1,3.3,552.1,,per_100g,
BHC,뿌링콜팝,BHC시그니처,,5000,281.6,17.2,2.1,3.3,552.1,,per_100g,
BHC,동글락 바삭 콜팝(Large),BHC시그니처,,8500,391.3,17.7,6.2,3.4,849.6,,per_100g,
BHC,커링클/뿌링클 반반,BHC시그니처,,23500,234.9,23.6,1.1,2.6,315.9,,per_100g,
BHC,뿌링빅콜팝,BHC시그니처,,15000,281.6,17.2,2.1,3.3,552.1,,per_100g,
BHC,허니버터요거트 소스,사이드,,1500,453,1,14,11,398,,per_100g,
BHC,콰삭 슈림프,사이드,,9000,295.7,11.2,0.6,1.9,730.7,,per_100g,
BHC,달콤바삭치즈볼,사이드,,5500,353.4,8.6,7.5,7.9,389.6,,per_100g,
BHC,빨간소떡,사이드,,3500,255.3,8.4,3.2,1.9,403.3,,per_100g,
BHC,크리스피번(바나나),사이드,,5500,402.9,10.1,11.5,4.4,552.7,,per_100g,
BHC,케이준프라이,사이드,,4000,309.4,4.3,0.2,1.3,462.4,,per_100g,
BHC,얼큰어묵탕,사이드,,17000,70.3,4.7,1.5,0.2,467.3,,per_100g,
BHC,파인샤베트,사이드,,9000,169,0.3,38.5,0.7,26.1,,per_100g,
BHC,뿌링감자,사이드,,5000,323.6,4.5,4.9,2,559.3,,per_100g,
BHC,뿌링 카이막 치즈볼,사이드,,7000,343.2,4.1,6.3,7.7,375.7,,per_100g,
BHC,뿌링치즈볼,사이드,,6500,359.3,8.2,8.9,8.4,432.5,,per_100g,
BHC,뿌링진미채튀김,사이드,,6000,429.2,20,7,2.6,860.8,,per_100g,
BHC,가래떡 떡볶이,사이드,,6900,175,3,6,0.5,450,,per_100g,
BHC,콰삭감자,사이드,,6900,265.3,3.6,1.2,1.2,472,,per_100g,
BHC,국물떡볶이,사이드,,11000,164.7,5.2,5.6,0.2,535.2,,per_100g,
BHC,골뱅이무침,사이드,,15000,113.8,5.7,8.4,0.3,370,,per_100g,
BHC,뿌링핫도그,사이드,,6000,329,7.3,6.5,4.9,472.1,,per_100g,
BHC,뿌링치즈스틱,사이드,,5000,329.1,15.5,2.8,7.5,591.9,,per_100g,
BHC,치로스,사이드,,6000,353.2,9.3,13,5.6,240.7,,per_100g,
BHC,크리스피번(뿌링클),사이드,,5500,399.4,10.3,11,4.4,597.6,,per_100g,
BHC,뿌링클라이스,사이드,,4000,190,5,6,1.9,460,,per_100g,
BHC,스윗 갈릭 소스,사이드,,1500,85.5,0.9,8.6,0.1,217.2,,per_100g,
BHC,오징어 모듬 튀김,사이드,,13000,80,0.0,18,0.0,45,,per_100g,
BHC,뿌링클나쵸 더블,사이드,,6500,274,3,2,6,34,,per_100g,
BHC,빠삭 먹태구이,사이드,,13000,314.9,70.4,0,0.8,536.8,,per_100g,
BHC,[제주한정]봉봉마요소스,사이드,,2000,362.3,0.9,15.5,3.4,709.7,,per_100g,
BHC,뿌링클나쵸,사이드,,2000,274,3,2,6,196,,per_100g,
BHC,카이막 치즈볼,사이드,,6000,338.1,3.9,6,7.8,328.4,,per_100g,
BHC,뿌링소떡,사이드,,4000,265.9,8.4,4,2.2,403.7,,per_100g,
BHC,웨지감자,사이드,,6000,229.8,2.7,3,1,348,,per_100g,
BHC,분모자 로제 떡볶이,사이드,,6000,396,4,27,5,960,,per_100g,
BHC,크리스피번(밀크),사이드,,5500,400.3,9.9,11.9,4.4,542.9,,per_100g,
BHC,후라이드 닭똥집 튀김,사이드,,11000,315.7,16.1,0.4,2.2,558.9,,per_100g,
BHC,치킨스넥,사이드,,11000,367.1,15.1,2.1,3.4,387.1,,per_100g,
