restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
버거킹,데리야킹 크리스퍼,데리야킹 크리스퍼,233,6200,660,26,18,7,1923,,
버거킹,데리야킹 크리스퍼 세트,데리야킹 크리스퍼 + 프렌치프라이(R) + 코카콜라(R),711,8400,1090,30,58,10,2273,,
버거킹,데리야킹 크리스퍼 라지세트,데리야킹 크리스퍼 + 프렌치프라이(L) + 코카콜라(L),906,9100,1245,31,75,11,2387,,
버거킹,펜타치즈와퍼 라지세트,펜타치즈와퍼 + 프렌치프라이(L) + 코카콜라(L),996,12600,1442,48,64,28,1984,,
버거킹,펜타치즈와퍼 세트,펜타치즈와퍼 + 프렌치프라이(R) + 코카콜라(R),801,11900,1285,47,47,27,1869,,
버거킹,펜타치즈와퍼,펜타치즈와퍼,323,9700,857,43,8,24,1520,,
버거킹,보일링 씨푸드 버거 버터갈릭,보일링 씨푸드 버거 버터갈릭,233,9200,641,23,9,9,1345,,
버거킹,흑임자 킹퓨전,흑임자 킹퓨전,200,3900,400,8,40,5,166,,
버거킹,말차 킹퓨전,말차 킹퓨전,200,3900,394,7,41,4,139,20,
버거킹,애플 파이 로얄,애플 파이 로얄,61,2500,188,2,6,2.5,120,,
버거킹,크리스퍼 랩,크리스퍼 랩,133,3600,359,12,4,3,651,0,
버거킹,오리지널스 엘파소 치폴레,오리지널스 엘파소 치폴레,291,10900,911,44,9,25,1338,,
버거킹,갈릭불고기 맥시멈2,갈릭불고기 맥시멈2,358,10700,1076,54,7,24,1710,,
버거킹,통새우와퍼,통새우와퍼,309,8200,714,34,9,12,1258,0,
버거킹,오리지널스 뉴욕 스테이크,오리지널스 뉴욕 스테이크,307,10900,826,51,10,22,1762,0,
버거킹,갈릭불고기 맥시멈3,갈릭불고기 맥시멈3,468,13900,1347,77,15,28,1902,,
버거킹,갈릭불고기 맥시멈 원파운더,갈릭불고기 맥시멈 원파운더,573,17500,1694,93,18,45,2262,,
버거킹,더오치 맥시멈2,더오치 맥시멈2,375,10700,1018,53,9,29,2045,0,
