restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
커피빈,Lychee & Coconut Ice Blended 리치 코코넛 아이스 블렌디드,신음료,,,285,0,68,,67,0,
커피빈,Chewy Black Sesame Ice Blended 쫀득 흑임자 아이스 블렌디드,신음료,,,745,14,85,7,573,0,
커피빈,Vanilla Bean Flat White 바닐라 빈 플랫화이트,신음료,,,228,8,25,6,126,182,
커피빈,Iced Vanilla Bean Flat White 아이스 바닐라 빈 플랫화이트,신음료,,,150,4,19,3,61,182,
커피빈,UBE Vanilla Ice Blended 우베 바닐라 아이스 블렌디드,신음료,,,269,8,42,2,181,,
커피빈,Chewy Red Bean Ice Blended 쫀득 단팥 아이스 블렌디드,신음료,,,816,17,110,3,415,,
커피빈,Haman Watermelon Juice 함안 수박 주스,신음료,,,88,2,12,,78,0,
커피빈,Heavenly Peach Yogurt Ice Blended 천도복숭아 요거트 아이스 블렌디드,신음료,,,254,0,33,0,3,0,
커피빈,Pink Salt Black Dimon 핑크 솔트 블랙다이몬,신음료,,,315,5,10,3,361,281,
커피빈,Black Dimon Americano 블랙다이몬 아메리카노,신음료,,,18,1,0,0,31,281,
커피빈,Black Dimon Cafe Latte 블랙다이몬 카페라떼,신음료,,,138,7,9,5,131,281,
커피빈,Black Dimon Cafe Sua 블랙다이몬 카페수아,신음료,,,304,11,41,5,160,281,
커피빈,Vanilla Bean Oat Black Dimon 바닐라빈 오트 블랙다이몬,신음료,,,223,3,22,1,121,281,
커피빈,Iced Double Breve Latte 아이스 더블 브레베 라떼,신음료,,,338,8,17,4,115,182,
커피빈,Double Breve Latte 더블 브레베 라떼,신음료,,,521,12,27,6,178,182,
커피빈,Choux Cream Caramel Ice Blended 슈크림 카라멜 아이스 블렌디드,신음료,,,611,8,65,6,326,0,
커피빈,Iced Choux Cream Latte 아이스 슈크림 라떼,신음료,,,467,5,50,3,95,91,
커피빈,Choux Cream Latte 슈크림 라떼,신음료,,,472,7,43,6,234,91,
커피빈,Naju Pear & Green Grape Ice Blended 나주 배 청포도 아이스 블렌디드,신음료,,,296,0,71,0,32,0,
커피빈,Espresso dalgona cream latte 에스프레소 달고나 크림 라떼,신음료,,,648,8,59,4,380,91,
커피빈,Espresso Dalgona Cream IB 에스프레소 달고나 크림 IB,신음료,,,637,5,75,2,429,91,
커피빈,dalgona cream latte 달고나 크림 라떼,신음료,,,643,8,59,4,380,0,
커피빈,Dalgona Cream IB 달고나 크림 IB,신음료,,,680,5,76,3,442,0,
커피빈,Iced Coffeebeancano 아이스 커피빈카노,에스프레소 음료,,,4,0,0,0,0,,
커피빈,Iced Coffeebean Latte 아이스 커피빈라떼,에스프레소 음료,,,118,6,9,4,95,,
커피빈,Coffeebeancano 커피빈카노,에스프레소 음료,,,4,0,0,0,0,,
커피빈,Coffeebean Latte 커피빈라떼,에스프레소 음료,,,184,9,14,7,150,,
커피빈,Iced Cafe Mocha 아이스 카페모카,에스프레소 음료,,,262,10,38,3,239,102,
커피빈,Cafe Mocha 카페모카,에스프레소 음료,,,305,13,43,4,294,102,
커피빈,Brown Macchiatone 브라운 마끼아토네,에스프레소 음료,,,109,4,13,3,60,91,
