restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
컴포즈커피,에스프레소,커피·콜드브루,,,15.00,0.83,,0.06,7.50,185.81,
컴포즈커피,H-아메리카노,커피·콜드브루,,,11.64,0.83,,0.06,6.32,185.81,
컴포즈커피,I-아메리카노,커피·콜드브루,,,11.64,0.83,,0.06,6.32,185.81,
컴포즈커피,I-빅포즈 아메리카노,커피·콜드브루,,,23.29,1.65,,0.12,12.65,371.62,
컴포즈커피,H-카페라떼,커피·콜드브루,,,204.52,9.20,13.50,7.10,143.43,247.75,
컴포즈커피,I-카페라떼,커피·콜드브루,,,155.52,7.10,10.00,5.28,108.43,247.75,
컴포즈커피,H-카푸치노,커피·콜드브루,,,194.32,8.61,13.24,6.58,133.51,247.75,
컴포즈커피,H-바닐라라떼,커피·콜드브루,,,254.42,8.60,19.20,6.58,133.43,247.75,
컴포즈커피,I-바닐라라떼,커피·콜드브루,,,198.42,6.20,15.20,4.50,93.43,247.75,
컴포즈커피,H-헤이즐넛라떼,커피·콜드브루,,,251.22,8.60,19.20,6.58,133.43,247.75,
컴포즈커피,I-헤이즐넛라떼,커피·콜드브루,,,195.22,6.20,15.20,4.50,93.43,247.75,
컴포즈커피,H-돌체라떼,커피·콜드브루,,,354.08,12.96,39.38,9.40,181.95,247.75,
컴포즈커피,I-돌체라떼,커피·콜드브루,,,265.37,9.69,30.00,6.55,132.25,247.75,
컴포즈커피,I-흑당 카페라떼,커피·콜드브루,,,273.76,6.55,40.60,5.24,110.97,123.87,
컴포즈커피,H-캬라멜마끼아또,커피·콜드브루,,,365.92,9.00,45.90,7.30,175.43,247.75,
컴포즈커피,I-캬라멜마끼아또,커피·콜드브루,,,303.97,6.55,39.40,5.13,130.18,247.75,
컴포즈커피,H-카페모카,커피·콜드브루,,,465.35,9.99,53.70,15.58,177.18,253.56,
컴포즈커피,I-카페모카,커피·콜드브루,,,409.35,7.59,49.70,13.50,137.18,253.56,
컴포즈커피,I-달고나라떼,커피·콜드브루,,,337.14,6.86,45.84,5.26,158.52,185.81,
컴포즈커피,I-베러댄아인슈페너,커피·콜드브루,,,231.80,4.54,21.99,11.90,78.84,185.91,
컴포즈커피,I-아인슈페너라떼,커피·콜드브루,,,340.68,9.32,29.49,15.82,155.95,247.85,
컴포즈커피,I-바닐라크림라떼,커피·콜드브루,,,343.43,6.87,38.23,14.53,226.21,124.75,
컴포즈커피,I-너티크림라떼,커피·콜드브루,,,298.45,8.51,23.23,11.95,169.40,123.97,
컴포즈커피,I-아샷추,커피·콜드브루,,,201.64,0.83,44.50,0.06,6.32,201.45,
컴포즈커피,I-빅포즈 아샷추,커피·콜드브루,,,296.64,0.83,66.75,0.06,6.32,209.26,
컴포즈커피,I-빅포즈 카페라떼,커피·콜드브루,,,283.05,13.01,18.00,9.52,196.86,495.49,
컴포즈커피,I-빅포즈 바닐라라떼,커피·콜드브루,,,333.85,9.71,25.90,6.66,141.86,495.49,
컴포즈커피,I-빅포즈 헤이즐넛라떼,커피·콜드브루,,,327.45,9.71,25.90,6.66,141.86,495.49,
컴포즈커피,I-빅포즈 돌체라떼,커피·콜드브루,,,502.74,18.17,58.01,12.07,244.50,495.49,
컴포즈커피,H-꿀아메리카노,커피·콜드브루,,,191.64,0.83,42.00,0.06,12.32,185.81,
컴포즈커피,I-꿀아메리카노,커피·콜드브루,,,161.64,0.83,35.00,0.06,11.32,185.81,
컴포즈커피,I-컴포즈믹스커피,커피·콜드브루,,,298.35,1.30,28.53,5.96,20.18,215.52,
컴포즈커피,I-매샷추,커피·콜드브루,,,250.03,0.86,44.18,0.05,30.27,123.87,
컴포즈커피,I-파인애플 커피,커피·콜드브루,,,196.22,0.56,45.05,0.04,21.90,123.87,
컴포즈커피,I-빅포즈 파인애플커피,커피·콜드브루,,,294.33,0.84,67.58,0.06,32.85,185.81,
컴포즈커피,쫀득카노,커피·콜드브루,,,341.64,3.83,39.00,5.06,126.32,185.81,
컴포즈커피,커피엔 역시 커피빵,커피·콜드브루,,,168.14,3.73,11.00,1.86,17.32,185.81,
컴포즈커피,H-콜드브루,커피·콜드브루,,,17.74,1.00,,,,181.00,
컴포즈커피,I-콜드브루,커피·콜드브루,,,17.74,1.00,,,,181.00,
컴포즈커피,H-콜드브루라떼,커피·콜드브루,,,199.74,8.80,13.00,6.76,130.00,181.00,
컴포즈커피,I-콜드브루라떼,커피·콜드브루,,,122.74,5.50,7.50,3.90,75.00,181.00,
컴포즈커피,H-디카페인콜드브루,커피·콜드브루,,,12.14,1.00,,,,8.50,
컴포즈커피,I-디카페인콜드브루,커피·콜드브루,,,12.14,1.00,,,,8.50,
컴포즈커피,H-디카페인콜드브루라떼,커피·콜드브루,,,194.14,8.80,13.00,6.76,130.00,8.50,
컴포즈커피,I-디카페인콜드브루라떼,커피·콜드브루,,,117.14,5.50,7.50,3.90,75.00,8.50,
컴포즈커피,H-디카페인 아메리카노,커피·콜드브루,,,11.88,0.53,,0.06,9.63,9.16,
컴포즈커피,I-디카페인 아메리카노,커피·콜드브루,,,11.88,0.53,,0.06,9.63,9.16,
컴포즈커피,I-빅포즈 디카페인 아메리카노,커피·콜드브루,,,23.76,1.06,,0.12,19.27,18.32,
컴포즈커피,H-디카페인 카페라떼,커피·콜드브루,,,204.84,8.81,13.50,7.10,147.84,12.21,
컴포즈커피,I-디카페인 카페라떼,커피·콜드브루,,,155.84,6.71,10.00,5.28,112.84,12.21,
