restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
도미노피자,그릴드 패티 치즈 버거 트리플 치즈 버스트(오) L,피자,150,,420,20,5,9,780,,per_serving,1248
도미노피자,그릴드 패티 치즈 버거 더블 크러스트 L,피자,150,,520,17,5,15,880,,per_serving,604
도미노피자,그릴드 패티 치즈 버거 더블 크러스트 M,피자,150,,465,18,7,12,810,,per_serving,553
도미노피자,그릴드 패티 치즈 버거 트리플 치즈 버스트(나) L,피자,150,,420,21,6,10,840,,per_serving,1041
도미노피자,그릴드 패티 치즈 버거 하이 프로틴 도우(오) L,피자,150,,415,20,6,6,650,,per_serving,681
도미노피자,그릴드 패티 치즈 버거 하이 프로틴 도우(오) M,피자,150,,405,20,7,6,650,,per_serving,606
도미노피자,그릴드 패티 치즈 버거 씬 L,피자,150,,445,21,7,10,810,,per_serving,1017
도미노피자,그릴드 패티 치즈 버거 씬 M,피자,150,,460,20,7,11,780,,per_serving,415
도미노피자,그릴드 패티 치즈 버거 나폴리 L,피자,150,,410,21,7,8,790,,per_serving,834
도미노피자,그릴드 패티 치즈 버거 나폴리 M,피자,150,,420,20,6,8,810,,per_serving,466
도미노피자,그릴드 패티 치즈 버거 고구마쥬 엣지(오) L,피자,150,,410,17,8,8,680,,per_serving,1156
도미노피자,그릴드 패티 치즈 버거 고구마쥬 엣지(오) M,피자,150,,405,17,8,7,650,,per_serving,705
도미노피자,그릴드 패티 치즈 버거 고구마쥬 엣지(하) L,피자,150,,405,18,10,7,600,,per_serving,796
도미노피자,그릴드 패티 치즈 버거 고구마쥬 엣지(하) M,피자,150,,400,18,9,7,610,,per_serving,683
도미노피자,그릴드 패티 치즈 버거 오리지널 L,피자,150,,415,19,5,7,730,,per_serving,1041
도미노피자,그릴드 패티 치즈 버거 오리지널 M,피자,150,,410,19,5,7,700,,per_serving,628
도미노피자,그릴드 패티 치즈 버거 하이 프로틴 도우(나) L,피자,150,,425,20,7,7,730,,per_serving,821
도미노피자,그릴드 패티 치즈 버거 트리플 치즈 버스트(나/하) L,피자,150,,430,21,6,10,790,,per_serving,1028
도미노피자,그릴드 패티 치즈 버거 트리플 치즈 버스트(오/하) L,피자,150,,425,21,6,9,740,,per_serving,888
도미노피자,그릴드 패티 치즈 버거 더블 치즈 엣지 오리지널 L,피자,150,,425,20,5,9,790,,per_serving,1206
도미노피자,그릴드 패티 치즈 버거 더블 치즈 엣지 오리지널 M,피자,150,,425,20,4,9,780,,per_serving,749
도미노피자,그릴드 패티 치즈 버거 더블 치즈 엣지 하이 프로틴 도우(오) L,피자,150,,425,22,5,9,750,,per_serving,846
도미노피자,그릴드 패티 치즈 버거 더블 치즈 엣지 하이 프로틴 도우(오) M,피자,150,,415,21,6,9,740,,per_serving,727
도미노피자,더블 미트 할라피뇨 트리플 치즈 버스트(오) L,피자,150,,370,18,5,8,820,,per_serving,1350
도미노피자,더블 미트 할라피뇨 더블 크러스트 L,피자,150,,395,16,4,11,900,,per_serving,1038
도미노피자,더블 미트 할라피뇨 더블 크러스트 M,피자,150,,425,18,6,12,840,,per_serving,627
도미노피자,더블 미트 할라피뇨 트리플 치즈 버스트(나) L,피자,150,,360,19,5,10,960,,per_serving,1142
도미노피자,더블 미트 할라피뇨 하이 프로틴 도우(오) L,피자,150,,340,18,5,5,760,,per_serving,1115
도미노피자,더블 미트 할라피뇨 하이 프로틴 도우(오) M,피자,150,,370,20,6,7,690,,per_serving,680
도미노피자,더블 미트 할라피뇨 씬 L,피자,150,,360,19,7,9,940,,per_serving,785
도미노피자,더블 미트 할라피뇨 씬 M,피자,150,,355,17,7,7,940,,per_serving,483
도미노피자,더블 미트 할라피뇨 나폴리 L,피자,150,,340,18,5,7,940,,per_serving,935
도미노피자,더블 미트 할라피뇨 나폴리 M,피자,150,,345,19,7,8,940,,per_serving,518
도미노피자,더블 미트 할라피뇨 고구마쥬 엣지(오) L,피자,150,,360,16,7,7,740,,per_serving,1258
도미노피자,더블 미트 할라피뇨 고구마쥬 엣지(오) M,피자,150,,340,16,8,5,800,,per_serving,755
도미노피자,더블 미트 할라피뇨 고구마쥬 엣지(하) L,피자,150,,340,17,7,6,720,,per_serving,1230
도미노피자,더블 미트 할라피뇨 고구마쥬 엣지(하) M,피자,150,,370,19,8,8,650,,per_serving,757
도미노피자,더블 미트 할라피뇨 오리지널 L,피자,150,,355,17,5,6,790,,per_serving,1143
도미노피자,더블 미트 할라피뇨 오리지널 M,피자,150,,335,17,6,4.9,850,,per_serving,678
도미노피자,더블 미트 할라피뇨 하이 프로틴 도우(나) L,피자,150,,340,19,5,6,750,,per_serving,927
도미노피자,더블 미트 할라피뇨 트리플 치즈 버스트(나/하) L,피자,150,,360,20,5,8,800,,per_serving,1134
