restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
이디야,(L) ICED 말차폼 자스민티,음료,,,355,4,63,6,105,52,
이디야,(EX) ICED 말차폼 자스민티,음료,,,417,4,78,6,112,59,
이디야,(L) ICED 구망추,음료,,,243,1,55,0,26,0,
이디야,(EX) ICED 구망추,음료,,,306,1,70,0,35,0,
이디야,(L) ICED 구아바 자스민 에이드,음료,,,157,0,36,0,19,8,
이디야,(EX) ICED 구아바 자스민 에이드,음료,,,245,0,57,0,27,15,
이디야,(L) ICED 제로슈가 아샷추 복숭아,음료,,,43,1,0,0,1,129,
이디야,(EX) ICED 제로슈가 아샷추 복숭아,음료,,,60,1,0,0,1,143,
이디야,(L) ICED 헤이즐넛 아메리카노,음료,,,150,1,23,2,170,7,
이디야,(EX) ICED 헤이즐넛 아메리카노,음료,,,225,2,35,3,256,10,
이디야,(L) 흑당 콜드브루,음료,,,306,6,45,4,109,181,
이디야,(EX) 흑당 콜드브루,음료,,,425,8,63,5,147,272,
이디야,(L) HOT 시그니처 라떼,음료,,,486,8,13,35,231,7,
이디야,(EX) HOT 시그니처 라떼,음료,,,711,11,19,51,336,10,
이디야,(L) HOT 민트 모카,음료,,,435,11,43,17,207,207,
이디야,(EX) HOT 민트 모카,음료,,,590,16,62,20,295,311,
이디야,(L) ICED 민트 모카,음료,,,373,8,38,14,159,207,
이디야,(EX) ICED 민트 모카,음료,,,470,10,52,15,203,311,
이디야,(L) 딸기 쉐이크,음료,,,492,7,57,19,438,0,
이디야,(EX) 딸기 쉐이크,음료,,,668,9,73,28,634,0,
이디야,(L) 초코쿠키 쉐이크,음료,,,483,8,39,21,479,0,
이디야,(EX) 초코쿠키 쉐이크,음료,,,706,11,57,31,705,0,
이디야,(L) 아샷추 복숭아,음료,,,252,0,59,0,18,26,
이디야,(EX) 아샷추 복숭아,음료,,,334,0,78,0,24,33,
이디야,(L) ICED 시그니처 라떼,음료,,,370,6,9,27,171,7,
이디야,(EX) ICED 시그니처 라떼,음료,,,505,8,13,36,234,10,
이디야,(L) HOT 헤이즐넛 아메리카노,음료,,,150,1,23,2,170,7,
이디야,(EX) HOT 헤이즐넛 아메리카노,음료,,,225,2,35,3,256,10,
