restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
에그드랍,치킨 클럽샌드위치,SANDWICH,181,,374,17.1,8.4,5.8,887,0,,
에그드랍,클럽샌드위치,SANDWICH,166,,381,14.3,14.3,5.2,5.3,0,,
에그드랍,햄 앤 치즈 길거리 토스트,SANDWICH,223,,579,22.2,17.4,7,1162,0,,
에그드랍,비프 앤 치즈 길거리 토스트,SANDWICH,242,,643,27.7,17.2,8.2,1074,0,,
에그드랍,아보 베이컨 길거리 토스트,SANDWICH,233,,607,21.9,16.7,5.2,936,0,,
에그드랍,미스터 에그,SANDWICH,183,,511,25.3,7.5,10.4,649.3,,,
에그드랍,아메리칸 햄 치즈,SANDWICH,213,,609,30.7,5.6,13.1,866.7,,,
에그드랍,베이컨 더블 치즈,SANDWICH,218,,598,21.7,6.16,14.4,835.8,,,
에그드랍,비프 데리야끼,SANDWICH,250,,665,30.6,5.4,10.6,860,,,
에그드랍,갈릭 베이컨 치즈,SANDWICH,223,,658,21.4,7,13.1,810,,,
에그드랍,햄 앤 치즈 프렌치토스트,SANDWICH,227,,604,16.3,15.8,11,805.5,,,
에그드랍,아보홀릭,SANDWICH,218,,533,16.3,13.9,10.5,563.1,,,
에그드랍,베이컨 딥 치즈 번,SANDWICH,225,,646,23.4,9.6,15,972.1,,,
에그드랍,햄 치즈 베이글,BAGEL,161,,452,16.1,6.4,6.3,782.5,,,
에그드랍,BLT 베이글,BAGEL,272,,623,24.5,16.3,6,995.5,,,
에그드랍,에그 베이컨 디럭스,BAGEL,232,,654,27.8,9.3,7.2,1067.2,,,
에그드랍,에그 BLT 디럭스,BAGEL,328,,788.5,31.8,6.6,11.8,1384.5,,,
에그드랍,에그 햄 치즈 디럭스,BAGEL,336,,839.1,27.9,28.1,13.9,1503.1,,,
에그드랍,해쉬브라운,SIDE,58,,129,1.29,0.24,0.48,267,0,,
에그드랍,베이컨 체다 해쉬브라운,SIDE,80,,192,0.86,4.06,2.64,316,0,,
