restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
할리스,할리스 데일리 커피 디카페인 (HOT),에스프레소,,,8,0,0,0.0,3,6,
할리스,할리스 데일리 커피 디카페인 (ICED),에스프레소,,,8,0,0,0.0,3,6,
할리스,블랙샷 라떼 (HOT),에스프레소,,,297,10,33,8.4,185,93,
할리스,블랙샷 라떼 (ICED),에스프레소,,,161,5,17,4.3,100,93,
할리스,할리스 데일리 커피 (ICED),에스프레소,,,12,1,0,0.0,3,195,
할리스,카푸치노 (HOT),에스프레소,,,149,8,10,5.3,115,127,
할리스,카푸치노 (ICED),에스프레소,,,101,5,7,3.5,75,127,
할리스,눈표범 아인슈페너 (ICED),에스프레소,,,156,3,6,8.5,17,127,
할리스,저당 바닐라 딜라이트 (HOT),에스프레소,,,228,9,12,7.9,219,79,
할리스,저당 바닐라 딜라이트 (ICED),에스프레소,,,158,5,7,5.2,161,79,
할리스,바닐라 딜라이트 아인슈페너 (ICED),에스프레소,,,177,2,11,8.5,57,138,
할리스,디카페인 콜드브루 아샷추 (ICED),에스프레소,,,206,0,44,0.0,6,15,
할리스,아샷추 (ICED),에스프레소,,,205,0,44,0.1,4,74,
할리스,몬스터 아메리카노 (ICED),에스프레소,,,20,1,0,0.0,113,134,
할리스,블랙아리아아메리카노 (HOT),에스프레소,,,9,0,0,0.1,0,153,
할리스,블랙아리아아메리카노 (ICED),에스프레소,,,9,0,0,0.1,0,153,
할리스,블랙아리아딥라떼 (HOT),에스프레소,,,165,8,12,6.0,130,153,
할리스,블랙아리아딥라떼 (ICED),에스프레소,,,96,5,7,3.4,73,153,
할리스,돌체 라떼 (HOT),에스프레소,,,289,11,31,7.6,180,93,
할리스,돌체 라떼 (ICED),에스프레소,,,154,6,16,3.9,93,93,
할리스,디카페인콜드브루 (HOT),에스프레소,,,8,0,0,0.0,3,6,
할리스,디카페인콜드브루 (ICED),에스프레소,,,8,0,0,0.0,3,6,
할리스,디카페인콜드브루 라떼 (HOT),에스프레소,,,175,9,12,6.3,142,3,
할리스,디카페인콜드브루 라떼 (ICED),에스프레소,,,114,6,8,3.9,91,3,
할리스,디카페인 콜드브루바닐라 딜라이트 (HOT),에스프레소,,,247,10,31,5.6,218,25,
할리스,디카페인 콜드브루바닐라 딜라이트 (ICED),에스프레소,,,192,5,24,4.8,147,25,
할리스,콜드브루 딜라이트 (ICED),에스프레소,,,198,7,23,4.8,106,195,
할리스,콜드브루 라떼 (ICED),에스프레소,,,114,6,8,3.9,88,195,
할리스,콜드브루 (ICED),에스프레소,,,12,1,0,0.0,3,195,
할리스,바닐라 딜라이트 (HOT),에스프레소,,,245,10,31,5.6,213,83,
할리스,바닐라 딜라이트 (ICED),에스프레소,,,199,6,25,4.9,155,83,
할리스,카라멜 마키아또 (HOT),에스프레소,,,227,8,23,6.1,135,127,
할리스,카라멜 마키아또 (ICED),에스프레소,,,161,5,18,3.6,80,127,
할리스,카페 모카 (HOT),에스프레소,,,301,9,30,10.2,166,132,
할리스,카페 모카 (ICED),에스프레소,,,237,6,25,7.7,112,132,
할리스,카페 라떼 (HOT),에스프레소,,,167,8,12,6.0,130,127,
할리스,카페 라떼 (ICED),에스프레소,,,96,5,6,3.3,72,127,
할리스,아메리카노 (HOT),에스프레소,,,12,1,0,0.1,0,114,
할리스,아메리카노 (ICED),에스프레소,,,12,1,0,0.1,0,114,
할리스,아포가토 (ICED),에스프레소,,,207,4,15,7.4,36,93,
할리스,에스프레소 (HOT),에스프레소,,,5,0,0,0.0,0,61,
할리스,레드티 (HOT),라떼·초콜릿·티,,,208,0,50,0.0,139,,
할리스,레드티 (ICED),라떼·초콜릿·티,,,208,0,50,0.0,139,,
