restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
한솥도시락,왕갈비맛 함박스테이크 덮밥,9월 신메뉴,,8800,904.3,,,,,,
한솥도시락,치폴레 함박스테이크 덮밥,9월 신메뉴,,8800,934.3,,,,,,
한솥도시락,스페셜 한우함박스테이크 도시락,스페셜,,14000,1339.0,,,,,,
한솥도시락,스페셜 해바라기 도시락,스페셜,,13000,1302.8,,,,,,
한솥도시락,스페셜 숯불직화 진달래 도시락,스페셜,,12000,923.5,,,,,,
한솥도시락,스페셜 송정식 떡갈비 도시락,스페셜,,11000,1134.0,,,,,,
한솥도시락,NEW 매화 연어,프리미엄,,12500,1024.0,,,,,,
한솥도시락,매화 고등어,프리미엄,,11500,1071.0,,,,,,
한솥도시락,해바라기,프리미엄,,10300,1037.0,,,,,,
한솥도시락,진달래,프리미엄,,8800,907.0,,,,,,
한솥도시락,NEW 카츠카츠 고기고기,고기고기,,8000,1017.9,,,,,,
한솥도시락,돈까스도련님 고기고기,고기고기,,7300,999.0,,,,,,
한솥도시락,돈치 고기고기,고기고기,,6800,919.0,,,,,,
한솥도시락,새치 고기고기,고기고기,,7800,990.0,,,,,,
한솥도시락,동백,모둠,,6700,838.0,,,,,,
한솥도시락,돈치스팸,모둠,,5500,771.0,,,,,,
한솥도시락,칠리 찹쌀탕수육도련님,모둠,,5000,822.0,,,,,,
한솥도시락,돈까스도련님,모둠,,5200,834.0,,,,,,
한솥도시락,제육 돈까스도련님,모둠,,5200,843.0,,,,,,
한솥도시락,한우 함박스테이크& 청양 토네이도 소세지,모둠,,9000,1028.5,,,,,,
한솥도시락,한우 함박스테이크&토네이도 소세지,모둠,,9000,1047.1,,,,,,
한솥도시락,송정식 떡갈비,모둠,,7200,975.0,,,,,,
한솥도시락,치킨제육,모둠,,5500,879.0,,,,,,
한솥도시락,더블 돈까스도련님,더블,,10500,1266.8,,,,,,
한솥도시락,더블 칠리 찹쌀탕수육도련님,더블,,8500,1157.4,,,,,,
한솥도시락,메가치킨마요,마요,,6600,1127.0,,,,,,
한솥도시락,빅치킨마요,마요,,4600,817.0,,,,,,
한솥도시락,치킨마요,마요,,3900,647.0,,,,,,
한솥도시락,스팸마요,마요,,4400,563.0,,,,,,
한솥도시락,참치마요,마요,,3800,611.0,,,,,,
한솥도시락,김치볶음밥&돼지불백,볶음밥,,7900,747.6,,,,,,
한솥도시락,스팸 김치볶음밥,볶음밥,,5200,541.0,,,,,,
