# 한솥도시락 메뉴 인덱스 원본 캡처 2026-09-01 (브라우저에서 showMenuList 전 카테고리 순회 수집)
# 컬럼: cate1	cate2	카테고리명	idx	이름+가격(원문)
# 상세(열량·알레르기·가격): GET https://www.hsd.co.kr/menu/menu_view/{idx}?cate1={cate1}&cate2={cate2} (curl 가능)
# 목록 API는 curl 403(WAF)이라 이 인덱스를 그대로 쓰면 브라우저 단계 생략 가능. 신메뉴 갱신 시에만 재수집.
1	63	9월 신메뉴	739	왕갈비맛 함박스테이크 덮밥 가격: 8,800원
1	63	9월 신메뉴	738	치폴레 함박스테이크 덮밥 가격: 8,800원
59	60	스페셜	621	스페셜 한우함박스테이크 도시락 가격: 14,000원
59	60	스페셜	620	스페셜 해바라기 도시락 가격: 13,000원
59	60	스페셜	619	스페셜 숯불직화 진달래 도시락 가격: 12,000원
59	60	스페셜	618	스페셜 송정식 떡갈비 도시락 가격: 11,000원
2	24	프리미엄	696	NEW 매화 연어 가격: 12,500원
2	24	프리미엄	4	매화 고등어 가격: 11,500원
2	24	프리미엄	459	해바라기 가격: 10,300원
2	24	프리미엄	6	진달래 가격: 8,800원
3	9	고기고기	688	NEW 카츠카츠 고기고기 가격: 8,000원
3	9	고기고기	242	돈까스도련님 고기고기 가격: 7,300원
3	9	고기고기	10	돈치 고기고기 가격: 6,800원
3	9	고기고기	11	새치 고기고기 가격: 7,800원
3	10	모둠	17	동백 가격: 6,700원
3	10	모둠	363	돈치스팸 가격: 5,500원
3	10	모둠	206	칠리 찹쌀탕수육도련님 가격: 5,000원
3	10	모둠	13	돈까스도련님 가격: 5,200원
3	10	모둠	543	제육 돈까스도련님 가격: 5,200원
3	10	모둠	575	한우 함박스테이크& 청양 토네이도 소세지 가격: 9,000원
3	10	모둠	576	한우 함박스테이크&토네이도 소세지 가격: 9,000원
3	10	모둠	507	송정식 떡갈비 가격: 7,200원
3	10	모둠	15	치킨제육 가격: 5,500원
3	66	더블	658	더블 돈까스도련님 가격: 10,500원
3	66	더블	657	더블 칠리 찹쌀탕수육도련님 가격: 8,500원
4	12	마요	250	메가치킨마요 가격: 6,600원
4	12	마요	29	빅치킨마요 가격: 4,600원
4	12	마요	25	치킨마요 가격: 3,900원
4	12	마요	333	스팸마요 가격: 4,400원
4	12	마요	26	참치마요 가격: 3,800원
4	14	볶음밥	626	김치볶음밥&돼지불백 가격: 7,900원
4	14	볶음밥	347	스팸 김치볶음밥 가격: 5,200원
4	14	볶음밥	346	김치볶음밥 가격: 4,400원
4	15	찌개	412	부대찌개 가격: 6,500원
4	15	찌개	135	묵은지 김치찌개 가격: 6,000원
4	16	덮밥	698	NEW 왕카레치킨 덮밥 가격: 6,700원
4	16	덮밥	623	돼지불백 덮밥 가격: 5,900원
4	16	덮밥	697	NEW 왕김치돈까스 덮밥 가격: 6,700원
4	16	덮밥	600	제많덮(제육 많이 덮밥) 가격: 6,500원
4	16	덮밥	601	빅 제많덮(빅 제육 많이 덮밥) 가격: 7,500원
4	16	덮밥	117	왕카레돈까스 덮밥 가격: 6,700원
4	16	덮밥	261	숯불직화구이 덮밥 가격: 6,500원
4	16	덮밥	660	김치 제육 덮밥 가격: 5,200원
4	16	덮밥	433	오리지널 치즈 닭갈비덮밥 가격: 6,500원
4	16	덮밥	694	열무 감초고추장 비빔밥 가격: 5,000원
4	16	덮밥	662	김치 참치 덮밥 가격: 4,900원
4	16	덮밥	434	핫 치즈 닭갈비덮밥 가격: 6,500원
4	16	덮밥	21	돈까스 카레 가격: 5,100원
4	16	덮밥	33	돈까스 덮밥 가격: 4,700원
4	17	비빔밥	39	소불고기 감초고추장 비빔밥 가격: 6,000원
4	17	비빔밥	40	시골제육 두부강된장 비빔밥 가격: 6,500원
4	17	비빔밥	42	참치야채 감초고추장 비빔밥 가격: 4,000원
4	64	정식	414	빅치킨마요 부대찌개 정식 가격: 8,800원
4	64	정식	413	치킨마요 부대찌개 정식 가격: 8,100원
5	18	단품/실속반찬	417	단품 부대찌개 가격: 5,200원
5	18	단품/실속반찬	138	단품 묵은지 김치찌개 가격: 4,700원
5	18	단품/실속반찬	134	단품 카레 가격: 2,900원
5	18	단품/실속반찬	52	반찬 돈까스도련님 가격: 4,200원
5	18	단품/실속반찬	51	반찬 치킨 가격: 4,000원
5	18	단품/실속반찬	50	반찬 제육볶음 가격: 3,900원
5	18	단품/실속반찬	54	반찬 돈까스 가격: 2,900원
5	18	단품/실속반찬	376	반찬 토네이도 소세지 가격: 3,200원
5	18	단품/실속반찬	49	반찬 고기고기 가격: 3,900원
5	18	단품/실속반찬	47	반찬 고등어 데리야끼 가격: 3,900원
5	22	미니반찬&집반찬	719	집반찬 무말랭이 가격: 3,000원
5	22	미니반찬&집반찬	718	집반찬 볶음김치 가격: 2,500원
5	22	미니반찬&집반찬	717	집반찬 맛김치 가격: 2,500원
5	22	미니반찬&집반찬	56	미니반찬 볶음김치 가격: 500원
5	22	미니반찬&집반찬	55	미니반찬 김치 가격: 500원
5	22	미니반찬&집반찬	716	한솥 조미김 가격: 100원
5	47	밥	632	12곡밥 가격: 2,100원
5	47	밥	273	발아현미밥 가격: 1,900원
5	47	밥	272	한솥밥 가격: 1,200원
5	67	소스	715	한솥 허니버터시즈닝 가격: 300원
5	67	소스	714	한솥 치즈버터시즈닝 가격: 300원
5	67	소스	713	생와사비 가격: 300원
5	67	소스	712	한솥 케이준소스 가격: 600원
5	67	소스	711	한솥 양념치킨소스 가격: 600원
5	67	소스	710	한솥 미니탕수육소스 가격: 600원
5	67	소스	709	한솥 타르타르소스 가격: 400원
5	67	소스	708	한솥 라유소스 가격: 300원
5	67	소스	707	한솥 돈부리소스 가격: 500원
5	67	소스	706	한솥 덮밥용 소이소스 가격: 500원
5	67	소스	705	한솥 마요드레싱 소스 가격: 200원
5	67	소스	704	일회용 참기름 소스 가격: 200원
5	67	소스	703	토마토 케찹 소스 가격: 100원
5	67	소스	702	한솥 양식소스 가격: 300원
5	67	소스	701	한솥 칠리소스 가격: 500원
5	67	소스	700	한솥 치킨마요소스 가격: 500원
5	67	소스	699	한솥 빅치킨마요소스 가격: 600원
5	67	소스	245	한솥 두부강된장소스 가격: 1,800원
5	67	소스	244	한솥 감초볶음고추장소스 가격: 500원
53	54	스낵	471	해시 포테이토 스틱 가격: 2,000원
53	54	스낵	475	치즈버터 해시 포테이토 스틱 가격: 2,200원
53	54	스낵	474	허니버터 해시 포테이토 스틱 가격: 2,200원
53	54	스낵	423	뉴 감자고로케 가격: 2,700원
53	54	스낵	282	미니 찹쌀핫도그 가격: 2,800원
53	54	스낵	229	미니 찹쌀탕수육 가격: 2,300원
53	54	스낵	152	케이준후라이 가격: 1,900원
53	54	스낵	659	김피탕 가격: 6,700원
53	55	치킨	609	크림 닭강정(소) 가격: 3,900원
53	55	치킨	608	크림 닭강정(중) 가격: 9,900원
53	55	치킨	470	한솥 닭강정(소) 가격: 3,500원
53	55	치킨	469	한솥 닭강정(중) 가격: 9,000원
53	55	치킨	393	후라이드 순살(소)_양념치킨소스 가격: 4,000원
53	55	치킨	394	후라이드 순살(소)_케이준소스 가격: 4,000원
53	55	치킨	392	후라이드 순살(중) 가격: 7,500원
53	56	디저트	577	제주녹차 미니꿀호떡 가격: 2,500원
