restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
교촌치킨,간장윙박스20PCS,치킨,,23000,375,29,4.0,2.0,420,,per_100g,
교촌치킨,레드윙박스20PCS,치킨,,23000,365,27,5.0,4.1,390,,per_100g,
교촌치킨,마라레드윙박스20PCS,치킨,,23000,330,28,3.0,4.0,410,,per_100g,
교촌치킨,허니갈릭윙박스20PCS,치킨,,23000,345,26,3.3,8.0,460,,per_100g,
교촌치킨,후라이드윙박스20PCS,치킨,,23000,370,22,3.6,1,510,,per_100g,
교촌치킨,양념치킨윙박스20PCS,치킨,,24000,320,19,2.6,9.0,560,,per_100g,
교촌치킨,허니윙박스20PCS,치킨,,23000,360,22,3.6,5.0,340,,per_100g,
교촌치킨,반반윙박스20PCS [간장+마라레드],치킨,,24000,353,29,3.5,3.0,415,,per_100g,
교촌치킨,반반윙박스20PCS [간장+허니갈릭],치킨,,24000,360,28,3.7,5.0,440,,per_100g,
교촌치킨,반반윙박스20PCS [레드+마라레드],치킨,,24000,348,28,3.6,4.5,400,,per_100g,
교촌치킨,반반윙박스20PCS [레드+허니갈릭],치킨,,24000,355,27,3.7,6.5,425,,per_100g,
교촌치킨,반반윙박스20PCS [마라레드+허니갈릭],치킨,,24000,338,27,6.0,3.2,435,,per_100g,
교촌치킨,간장윙콤비,치킨,700,24000,353,27,3.4,1.6,475,,per_100g,
교촌치킨,레드윙콤비,치킨,700,24000,330,26,2.6,4.9,452,,per_100g,
교촌치킨,마라레드윙콤비,치킨,700,24000,341,22,3,4.8,428,,per_100g,
교촌치킨,허니갈릭윙콤비,치킨,700,25000,259,25,3,7.4,442,,per_100g,
교촌치킨,반반윙콤비[간장+레드],치킨,700,25000,342,27,3,3.3,464,,per_100g,
교촌치킨,반반윙콤비[간장+마라레드],치킨,700,25000,347,25,3.2,3.2,452,,per_100g,
교촌치킨,반반윙콤비[간장+허니갈릭],치킨,700,25000,356,26,3.2,4.5,459,,per_100g,
교촌치킨,반반윙콤비[레드+마라레드],치킨,700,25000,336,24,2.8,4.9,440,,per_100g,
교촌치킨,반반윙콤비[레드+허니갈릭],치킨,700,25000,345,26,2.8,6.2,447,,per_100g,
교촌치킨,반반윙콤비[마라레드+허니갈릭],치킨,700,25000,350,24,3,6.1,435,,per_100g,
교촌치킨,반반윙박스20PCS [후라이드+양념],치킨,,24000,345,21,3.1,4.5,535,,per_100g,
교촌치킨,허니갈릭한마리,치킨,1050,22000,320,28,8,2.6,420,,per_100g,
