restaurant,menu_name,menu_category,weight_g,calorie_kcal,protein_g,sodium_mg,sugar_g,saturated_fat_g,caffeine_mg,allergy_info,origin_info
롯데리아,리아 두툼새우,버거메뉴,263,549,18,1300,11,3.2,,"달걀, 밀, 대두, 우유, 토마토, 새우",
롯데리아,리아 두툼새우 스파이시토마토,버거메뉴,263,516,18,1310,10,4,,"달걀, 밀, 대두, 우유, 토마토, 새우",
롯데리아,한우불고기버거,버거메뉴,263,572,23,800,15,12,,"달걀, 밀, 대두, 우유, 쇠고기, 토마토",쇠고기 - 국내산 한우
롯데리아,더블한우불고기버거,버거메뉴,352,802,39,1150,18,20,,"달걀, 밀, 대두, 우유, 쇠고기, 토마토",쇠고기 - 국내산 한우
롯데리아,리아 불고기,버거메뉴,192,462,21,880,11,11,,"밀, 대두, 달걀, 우유, 쇠고기, 토마토, 돼지고기, 닭고기",쇠고기 - 호주산
롯데리아,리아 불고기 베이컨,버거메뉴,224,508,23,940,11,13,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토, 돼지고기","쇠고기 - 호주산, 돼지고기 - 외국산"
롯데리아,리아 불고기 더블 (빅불),버거메뉴,274,721,38,1480,12,24,,"밀, 대두, 달걀, 우유, 쇠고기, 토마토, 돼지고기, 닭고기",쇠고기 - 호주산
롯데리아,리아 새우,버거메뉴,179,473,15,900,5,3.8,,"달걀, 밀, 대두, 우유, 토마토, 새우",
롯데리아,리아 새우 베이컨,버거메뉴,211,519,18,960,6,5,,"달걀, 밀, 대두, 우유, 토마토, 돼지고기, 새우",돼지고기 - 외국산
롯데리아,리아 사각새우 더블,버거메뉴,208,534,18,1050,6,4.2,,"달걀, 밀, 대두, 우유, 토마토, 새우",
롯데리아,모짜렐라 인 더 버거 베이컨,버거메뉴,223,696,30,1000,6,16,,"달걀, 밀, 대두, 우유, 쇠고기, 돼지고기","쇠고기 - 호주산, 돼지고기 - 외국산"
롯데리아,전주비빔라이스버거,버거메뉴,285,574,14,1290,8,7,,"달걀, 밀, 대두, 쇠고기",쌀 - 국내산 / 쇠고기 - 호주산
롯데리아,더블엑스투버거,버거메뉴,228,703,26,1040,6,23,,"달걀, 밀, 대두, 우유, 쇠고기, 토마토",쇠고기 - 호주산
롯데리아,핫크리스피치킨버거,버거메뉴,190,454,22,900,4,5,,"달걀, 밀, 대두, 닭고기, 토마토",닭고기 - 국내산
롯데리아,미라클버거,버거메뉴,181,382,15,600,7,4.6,,"밀, 대두, 토마토",
롯데리아,더블 미라클버거,버거메뉴,245,551,25,920,10,7.0,,"밀, 대두, 토마토",
롯데리아,클래식치즈버거,버거메뉴,146,482,16,710,5,13,,"달걀, 밀, 대두, 우유, 쇠고기",쇠고기 - 호주산
롯데리아,더블 클래식치즈버거,버거메뉴,213,717,26,1030,6,23,,"달걀, 밀, 대두, 우유, 쇠고기",쇠고기 - 호주산
롯데리아,치킨버거,버거메뉴,141,355,15,620,8,3.8,,"달걀, 밀, 대두, 우유, 닭고기, 땅콩, 조개류(가리비)","닭고기 - 국내산, 브라질산 섞음"
롯데리아,더블 치킨버거,버거메뉴,205,478,24,950,11,5,,"달걀, 밀, 대두, 우유, 닭고기, 땅콩, 조개류(가리비)","닭고기 - 국내산, 브라질산 섞음"
롯데리아,데리버거,버거메뉴,134,348,12,590,10,4.9,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 조개류(가리비)",쇠고기 - 호주산
롯데리아,더블 데리버거,버거메뉴,170,446,19,740,10,7,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 조개류(가리비)",쇠고기 - 호주산
롯데리아,나폴리 모짜렐라버거 토마토바질,버거메뉴,240,733,27,1080,10,18,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토",쇠고기 - 호주산
롯데리아,나폴리 모짜렐라버거 발사믹바질,버거메뉴,250,733,27,1040,10,18,,"달걀, 밀, 대두, 우유, 쇠고기, 토마토, 아황산류",쇠고기 - 호주산
롯데리아,통다리 크리스피치킨버거(그릭랜치),버거메뉴,231,618,25,1050,8,5,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 조개류(굴)",닭고기 - 브라질산
롯데리아,통다리 크리스피치킨버거(파이어핫),버거메뉴,231,594,25,1040,10,4.4,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 조개류(굴)",닭고기 - 브라질산
롯데리아,번트비프버거,버거메뉴,198,602,26,1070,17,17,,"달걀, 밀, 대두, 우유, 쇠고기, 돼지고기, 오징어, 아황산류",쇠고기 - 호주산
롯데리아,하와이안 모짜렐라버거,버거메뉴,290,773,26,1146,14,18,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토, 돼지고기, 조개류",쇠고기 - 호주산
롯데리아,치즈토핑,토핑메뉴,18,64,3,160,0,3.9,,우유,
롯데리아,토마토토핑,토핑메뉴,20,4,0,0,0,0,,토마토,
롯데리아,베이컨토핑,토핑메뉴,12,42,2,60,0,1.7,,돼지고기,돼지고기 - 외국산
롯데리아,비프패티토핑,토핑메뉴,49,172,7,160,0,7,,쇠고기,쇠고기 - 호주산
롯데리아,반숙계란 토핑,토핑메뉴,45,43,0,35,0,0,,"달걀, 대두",
롯데리아,화이어윙2조각,치킨메뉴,85,178,9,270,0,2.5,,"닭고기, 밀, 대두, 땅콩, 달걀",닭고기 - 태국산
롯데리아,화이어윙4조각,치킨메뉴,170,357,17,550,0,5.0,,"닭고기, 밀, 대두, 땅콩, 달걀",닭고기 - 태국산
롯데리아,치킨다리 1조각,치킨메뉴,82,151,11,330,0,1.8,,"달걀, 밀, 대두, 닭고기, 땅콩",닭고기 - 국내산
롯데리아,치킨다리 하프팩(코울슬로) (소스미포함),치킨메뉴,428,717,45,1460,13,8,,"닭고기, 밀, 대두, 땅콩, 달걀, 우유",닭고기 - 국내산
롯데리아,치킨다리 하프팩(포테이토) (소스미포함),치킨메뉴,426,888,48,1830,3,10,,"닭고기, 밀, 대두, 땅콩, 달걀, 토마토",닭고기 - 국내산
롯데리아,순살치킨 하프팩 (소스 미포함),치킨메뉴,244,659,39,1170,2,6,,"달걀, 대두, 밀, 닭고기, 쇠고기",닭고기 - 브라질산
롯데리아,순살치킨 풀팩 (소스 미포함),치킨메뉴,487,1319,77,2350,4,12,,"달걀, 대두, 밀, 닭고기, 쇠고기",닭고기 - 브라질산
롯데리아,후라이드 순살치킨 (R) (소스 미포함),치킨메뉴,292,862,49,1520,1,10,,"달걀, 밀, 대두, 쇠고기, 닭고기, 조개류(굴)",닭고기 - 태국산
롯데리아,후라이드 순살치킨 (L) (소스 미포함),치킨메뉴,584,1725,197,3040,1,19,,"달걀, 밀, 대두, 쇠고기, 닭고기, 조개류(굴)",닭고기 - 태국산
롯데리아,후라이드 순살치킨 N (R) (소스 미포함),치킨메뉴,292,906,48,1554,1,11,,"후라이드순살치킨 : 달걀, 밀, 대두, 쇠고기, 닭고기, 조개류(굴)",닭고기 - 외국산
롯데리아,후라이드 순살치킨 N (L) (소스 미포함),치킨메뉴,584,1812,97,3109,1,21,,"후라이드순살치킨 : 달걀, 밀, 대두, 쇠고기, 닭고기, 조개류(굴)",닭고기 - 외국산
롯데리아,치킨휠레2조각 (소스미포함),치킨메뉴,77,183,15,370,0,1.9,,"닭고기, 달걀, 밀, 대두, 우유, 땅콩, 새우, 조개류(굴)",닭고기 - 국내산
롯데리아,치킨휠레4조각 (소스미포함),치킨메뉴,153,366,29,740,0,3.8,,"닭고기, 달걀, 밀, 대두, 우유, 땅콩, 새우, 조개류(굴)",닭고기 - 국내산
롯데리아,말차라뗴,드링크 메뉴,380,282,8,120,37,6,48,우유,
롯데리아,아메리카노,드링크 메뉴,290,8,0,5,0,0,73,-,
롯데리아,아이스아메리카노,드링크 메뉴,340,5,0,0,0,0,52,-,
롯데리아,아이스아메리카노(L),드링크 메뉴,530,9,0,0,0,0,88,-,
롯데리아,카페라떼(살균우유),드링크 메뉴,300,145,7,80,7,4.5,44,우유,
롯데리아,아이스카페라떼(살균우유),드링크 메뉴,325,60,3,30,3,1.7,50,우유,
롯데리아,레몬에이드(R),드링크 메뉴,380,180,0,10,41,0,,-,
롯데리아,레몬에이드(L),드링크 메뉴,515,246,0,11,56,0,,-,
롯데리아,아이스티(R),드링크 메뉴,380,191,0,0,47,0,,복숭아,
롯데리아,아이스티(L),드링크 메뉴,515,263,0,0,64,0,,복숭아,
롯데리아,제로슈거콜라(R),드링크 메뉴,420,0,0,55,0,0,,-,
롯데리아,제로슈거콜라(L),드링크 메뉴,570,0,0,75,0,0,,-,
롯데리아,펩시콜라(R),드링크 메뉴,420,128,0,15,31,0,,-,
롯데리아,펩시콜라(L),드링크 메뉴,570,174,0,20,42,0,,-,
롯데리아,사이다(R),드링크 메뉴,420,133,0,5,31,0,,-,
롯데리아,사이다(L),드링크 메뉴,570,182,0,10,42,0,,-,
롯데리아,캐모마일 티,드링크 메뉴,241,2,0,0,0,0,,-,
롯데리아,말차빙수(보냉백 포함),아이스샷,440,634,9,220,82,3,29,우유,
롯데리아,말차빙수(보냉백 미포함),아이스샷,440,634,9,220,82,3,29,우유,
롯데리아,팥빙수(보냉백 포함),아이스샷,511,601,10,140,99,3,,우유,
롯데리아,팥빙수(보냉백 미포함),아이스샷,511,601,10,140,99,3,,우유,
롯데리아,토네이도 말차쿠키,아이스샷,190,341,5,160,40,7,14,"밀, 대두, 우유",
롯데리아,토네이도 스트로베리,아이스샷,177,263,4,65,36,6,,우유,
롯데리아,토네이도 망고젤리,아이스샷,190,280,4,75,40,6,,우유,
롯데리아,토네이도 초코쿠키,아이스샷,175,300,5,160,32,7,,"우유, 밀, 대두",
롯데리아,토네이도 더블초코,아이스샷,190,338,5,160,39,7,,"우유, 밀, 대두",
롯데리아,롯데리아케첩(9g),소스& 시즈닝,9,10,0,115,2,0,,토마토,
롯데리아,허니머스타드,소스& 시즈닝,11,25,0,70,2,0,,"달걀, 대두",
롯데리아,스위트앤사워,소스& 시즈닝,11,20,0,60,5,0,,"대두, 밀, 조개류(굴)",
롯데리아,크리미양념소스,소스& 시즈닝,40,99,0,360,9,0.7,,"달걀, 대두, 토마토",
롯데리아,롯데리아 잠발라야소스,소스& 시즈닝,20,33,0,120,7,0,,토마토,
롯데리아,어니언 시즈닝,소스& 시즈닝,4.8,18,0,125,1,0,,"대두, 우유",
롯데리아,치즈시즈닝,소스& 시즈닝,3.7,15,0,130,2,0,,"대두, 우유",
롯데리아,칠리 시즈닝,소스& 시즈닝,2.6,9,0,160,0,0,,"밀, 대두, 우유, 쇠고기, 토마토",
롯데리아,양념치킨소스,소스& 시즈닝,40,92,0,200,14,0,,"달걀, 밀, 대두, 토마토",
롯데리아,소이허니소스,소스& 시즈닝,40,85,1,340,16,0,,"밀, 대두",
롯데리아,포테이토,디저트 메뉴,98,284,3,500,2,2.8,,"대두, 토마토",
롯데리아,포테이토(L),디저트 메뉴,148,420,5,800,5,4.1,,"대두, 토마토",
롯데리아,치즈스틱,디저트 메뉴,49,158,8,270,0,3.7,,"달걀, 밀, 대두, 우유",
롯데리아,롱치즈스틱,디저트 메뉴,49,158,8,230,0,4.0,,"달걀, 밀, 대두, 우유",
롯데리아,통오징어링,디저트 메뉴,97,166,8,420,8,0.5,,"오징어, 밀, 달걀, 대두, 토마토",오징어링 - 중국산
롯데리아,지파이 고소한맛(S),디저트 메뉴,128,397,18,620,0,6,,"달걀, 밀, 대두, 닭고기, 땅콩",닭고기 - 국내산
롯데리아,지파이 하바네로(L),디저트 메뉴,160,566,26,1370,1,4.2,,"달걀, 밀, 대두, 닭고기",닭고기 - 국내산
롯데리아,양념감자(시즈닝미포함),디저트 메뉴,117,360,4,510,0,3.7,,대두,
롯데리아,양념너겟(시즈닝미포함),디저트 메뉴,114,270,19,490,0,3.3,,"쇠고기, 닭고기, 대두, 밀, 우유",닭고기 - 국내산
롯데리아,치킨너겟(소스미포함),디저트 메뉴,114,270,19,490,0,3.3,,"쇠고기, 닭고기, 대두, 밀, 우유",닭고기 - 국내산
롯데리아,코울슬로,디저트 메뉴,100,112,0,130,12,1,,"대두, 달걀, 우유",
롯데리아,디지게 매운 돈까스(양념맛),디저트 메뉴,112,290,15,670,15,2,,"달걀, 밀, 대두, 토마토, 돼지고기",돼지고기 - 미국산
롯데리아,디지게 매운 돈까스(디진다맛),디저트 메뉴,112,280,15,520,13,2.1,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토, 돼지고기, 조개류(굴)",돼지고기 - 미국산
롯데리아,야채라이스 불고기,리아모닝,221,520,18,900,5,6,,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토, 돼지고기",쌀 - 국내산 / 쇠고기 - 호주산
롯데리아,야채라이스 새우,리아모닝,205,434,11,890,3,2.2,,"달걀, 밀, 대두, 우유, 쇠고기, 토마토, 새우",쌀 - 국내산
롯데리아,베이컨에그번,리아모닝,159,386,14,510,5,8,,"달걀, 밀, 대두, 우유, 돼지고기, 조개류(굴)",돼지고기 - 외국산
롯데리아,에그샐러드번,리아모닝,180,446,14,590,6,9,,"달걀, 밀, 대두, 우유, 토마토, 조개류(굴)",
롯데리아,새우 + 치킨버거,쿠팡이츠 '하나만' 메뉴,321,825,30,1520,13,8,,"달걀, 밀, 대두, 우유, 닭고기, 토마토, 새우, 땅콩, 조개류(가리비)","닭고기 - 국내산, 브라질산 섞음"
