restaurant,menu_name,menu_group,price_krw,weight_g,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,allergy_info
맥도날드,에그 맥머핀,단품,,140,306,19,3,5,712,,"난류, 우유, 대두, 밀, 돼지고기"
맥도날드,베이컨 에그 맥머핀,단품,,137,327,19,3,6,687,,"난류, 우유, 대두, 밀, 돼지고기"
맥도날드,베이컨 토마토 에그 머핀,단품,,196,341,17,5,3.6,666,,"난류, 대두, 밀, 돼지고기, 토마토"
맥도날드,소시지 에그 맥머핀,단품,,168,432,23,3,9,835,,"난류, 우유, 대두, 밀, 돼지고기"
맥도날드,디럭스 브렉퍼스트,단품,,312,768,29,11,9,1365,,"난류, 우유, 대두, 밀, 돼지고기"
맥도날드,핫케익 2조각,단품,,100,223,6,8,1.1,342,,"난류, 우유, 대두, 밀"
맥도날드,핫케익 3조각,단품,,150,335,9,12,1.7,513,,"난류, 우유, 대두, 밀"
맥도날드,치킨 치즈 머핀,단품,,178,498,23,3,6,1277,,"난류, 우유, 대두, 밀, 닭고기"
맥도날드,그릴드 치킨 모닝 버거,단품,,164,358,19,9,4.4,913,,"쇠고기, 닭고기, 난류, 우유, 대두, 토마토, 밀"
맥도날드,더블 그릴드 치킨 모닝 버거,단품,,209,414,30,9,4.6,1262,,"쇠고기, 닭고기, 난류, 우유, 대두, 토마토, 밀"
맥도날드,골든 모짜렐라 치즈스틱 4조각,스낵 & 사이드,,94,330,16,2,8.4,577,,"우유, 대두, 밀"
맥도날드,골든 모짜렐라 치즈스틱 2조각,스낵 & 사이드,,47,165,8,1,4.2,288,,"우유, 대두, 밀"
맥도날드,해쉬 브라운,스낵 & 사이드,,57,162,2,0,0.8,345,,대두
맥도날드,코울슬로,스낵 & 사이드,,100,179,1,18,1,307,,"난류, 대두, 조개, 굴"
맥도날드,상하이 치킨 스낵랩,스낵 & 사이드,,112,300,11,3,3.9,823,,"난류, 대두, 밀, 돼지고기, 닭고기"
맥도날드,게살 크림 크로켓 스낵랩,스낵 & 사이드,,101,285,7,6,3.8,640,,"난류, 우유, 대두, 밀, 땅콩, 게, 조개, 굴"
맥도날드,오레오 맥플러리,디저트,,168,334,6,36,6,179,,"우유, 대두, 밀"
맥도날드,딸기 오레오 맥플러리,디저트,,174,305,5,38,4.7,138,,"우유, 대두, 밀"
맥도날드,초코 오레오 맥플러리,디저트,,189,390,7,45,8,218,,"우유, 대두, 밀"
맥도날드,베리 스트로베리 맥플러리,디저트,,168,327,5,38,6,228,,"우유, 대두, 밀"
맥도날드,스트로베리콘,디저트,,90,142,3,16,2.5,96,,"우유, 밀"
맥도날드,아이스크림콘,디저트,,90,146,3,15,2.5,67,,"우유, 밀"
맥도날드,초코 선데이 아이스크림,디저트,,175,323,6,39,8,170,,"우유, 대두"
맥도날드,딸기 선데이 아이스크림,디저트,,179,277,5,41,3.9,96,,우유
맥도날드,바닐라 선데이 아이스크림,디저트,,140,201,4,24,3.9,83,,우유
맥도날드,빅맥®,버거,,223,582,27,8,11,902,,"난류, 우유, 대두, 밀, 쇠고기"
맥도날드,카라멜 팝콘 맥플러리,디저트,,180,361,5,44,6,278,,"우유, 대두"
맥도날드,맥스파이시® 상하이버거,버거,,246,528,22,9,3.2,952,,"난류, 대두, 밀, 토마토, 닭고기"
맥도날드,스트로베리 카라멜 팝콘 맥플러리,디저트,,180,355,5,46,6,327,,"우유, 대두"
맥도날드,1955® 버거,버거,,264,572,29,15,10,930,,"난류, 우유, 대두, 밀, 돼지고기, 토마토, 쇠고기"
맥도날드,맥치킨® 모짜렐라,버거,,293,735,29,18,7,1807,,"난류, 우유, 대두, 밀, 토마토, 닭고기"
맥도날드,맥치킨®,버거,,206,515,19,7,3.6,1148,,"난류, 대두, 밀, 닭고기"
맥도날드,더블 불고기버거,버거,,237,635,26,15,13,997,,"난류, 우유, 대두, 밀, 돼지고기, 조개, 굴"
맥도날드,해쉬 브라운,해피밀(옵션),,57,162,2,0,0.8,345,,대두
맥도날드,불고기버거,버거,,167,408,14,14,6,670,,"난류, 대두, 밀, 돼지고기, 조개, 굴"
맥도날드,후룻볼 파인애플,해피밀(옵션),,113,75,1,14,0,0,,-
맥도날드,슈슈버거,버거,,225,431,13,13,1.9,758,,"난류, 우유, 대두, 밀, 토마토, 새우, 쇠고기, 굴"
맥도날드,오렌지 주스 캔,해피밀(옵션),,175,56,0.9,11,0.0,47,0,-
맥도날드,슈비버거,버거,,269,573,22,15,6,951,,"난류, 우유, 대두, 밀, 토마토, 새우, 쇠고기, 굴"
맥도날드,코카 콜라® 미디엄,음료,,425,133,0,33,0.0,9,0,-
맥도날드,더블 쿼터파운더® 치즈,버거,,275,770,50,10,20,1151,,"우유, 대두, 밀, 토마토, 쇠고기"
맥도날드,코카 콜라® 라지,음료,,610,185,0,46,0,13,,-
맥도날드,베이컨 토마토 디럭스,버거,,247,570,29,14,11,933,,"난류, 우유, 대두, 밀, 돼지고기, 토마토, 쇠고기"
맥도날드,코카 콜라® 제로 미디엄,음료,,425,0,0,0,0,34,,-
맥도날드,쿼터파운더®치즈,버거,,198,536,31,10,13,966,,"우유, 대두, 밀, 토마토, 쇠고기"
맥도날드,코카 콜라® 제로 라지,음료,,610,0,0,0,0,47,,-
맥도날드,치즈버거,버거,,115,318,16,7,6,612,,"우유, 대두, 밀, 토마토, 쇠고기"
맥도날드,환타® 미디엄,음료,,425,62,0,16,0,16,,-
맥도날드,더블 치즈버거,버거,,167,479,27,8,12,896,,"우유, 대두, 밀, 토마토, 쇠고기"
맥도날드,환타® 라지,음료,,610,86,0,22,0,22,,-
맥도날드,햄버거,버거,,101,266,13,7,3.5,450,,"대두, 밀, 토마토, 쇠고기"
맥도날드,스프라이트® 미디엄,음료,,425,140,0,35,0,28,,-
맥도날드,트리플 치즈버거,버거,,216,640,38,8,18,1152,,"우유, 대두, 밀, 토마토, 쇠고기"
맥도날드,스프라이트® 라지,음료,,610,194,0,49,0,39,,-
맥도날드,토마토 치즈 비프 버거 ,버거,,200,402,18,11,7,682,,"쇠고기, 난류, 우유, 대두, 토마토, 밀"
맥도날드,스프라이트® 제로 미디엄,음료,,425,0,0,0,0.0,16,0,-
맥도날드,더블 맥스파이시® 상하이 버거,버거,,362,867,38,10,6,1640,,"닭고기, 난류, 대두, 토마토, 밀"
맥도날드,스프라이트® 제로 라지,음료,,610,0,0,0,0.0,22,0,-
맥도날드,맥크리스피™ 치킨 디럭스,버거,,275,578,23,13,4.7,1297,,"쇠고기, 닭고기, 난류, 우유, 대두, 토마토, 밀"
맥도날드,카페라떼 미디엄,음료,,330,149,8,10,4.6,79,131,우유
맥도날드,맥크리스피™ 치킨 클래식,버거,,209,567,23,11,4.7,1295,,"쇠고기, 닭고기, 난류, 우유, 대두, 토마토, 밀"
맥도날드,맥너겟® 4조각,스낵 & 사이드,,64,163,10,0,1.1,369,,"맥너겟®  4조각 (대두, 밀, 닭고기), 스위트칠리 소스 (토마토), 스위트 앤 사워 소스 (대두, 밀, 아황산류), 케이준 소스 (난류, 대두, 굴)"
맥도날드,카페라떼 라지,음료,,420,194,10,14,6,105,148,우유
맥도날드,맥너겟® 6조각,스낵 & 사이드,,96,244,15,0,1.6,553,,"맥너겟®  6조각 (대두, 밀, 닭고기), 스위트칠리 소스 (토마토), 스위트 앤 사워 소스 (대두, 밀, 아황산류), 케이준 소스 (난류, 대두, 굴)"
맥도날드,카푸치노 미디엄,음료,,330,93,5,6,2.9,49,123,우유
맥도날드,맥스파이시® 치킨텐더 2조각,스낵 & 사이드,,79,190,14,0,1.2,763,,"맥스파이시® 치킨텐더 2조각 (대두, 밀, 닭고기), 스위트칠리 소스 (토마토), 스위트 앤 사워 소스 (대두, 밀, 아황산류), 케이준 소스 (난류, 대두, 굴)"
맥도날드,카푸치노 라지,음료,,420,120,7,8,3.5,62,142,우유
맥도날드,후렌치 후라이 스몰,스낵 & 사이드,,74,210,4,0,0.7,183,,"후렌치 후라이 스몰 (대두), 케첩 (대두, 토마토)"
맥도날드,아메리카노 미디엄,음료,,330,12,1,0,0,0,192,-
맥도날드,후렌치 후라이 미디엄,스낵 & 사이드,,114,324,5,0,1,282,,"후렌치 후라이 미디엄 (대두), 케첩 (대두, 토마토)"
맥도날드,아메리카노 라지,음료,,420,15,1,0,0,0,214,-
맥도날드,후렌치 후라이 라지,스낵 & 사이드,,140,397,7,0,1.3,346,,"후렌치 후라이 라지 (대두), 케첩 (대두, 토마토)"
맥도날드,드립 커피 미디엄,음료,,330,10,1,0,0.0,0,164,-
맥도날드,디핑 소스 스위트 앤 사워,스낵 & 사이드,,25,40,0,8,0,138,,"대두, 밀, 아황산류"
맥도날드,드립 커피 라지,음료,,420,12,1,0,0.0,0,206,-
맥도날드,디핑 소스 스위트 칠리,스낵 & 사이드,,25,52,0,9,0,204,,토마토
맥도날드,아이스 드립 커피 (시럽없음) 미디엄,음료,,400,10,1,0,0,0,168,-
맥도날드,디핑 소스 케이준,스낵 & 사이드,,22,79,0,2,1.1,124,,"난류, 대두, 굴"
맥도날드,아이스 드립 커피 (시럽없음) 라지,음료,,600,14,1,0,0.0,0,249,-
맥도날드,맥윙 2조각,스낵 & 사이드,,84,228,14,0,3.0,602,,"맥윙(닭고기, 난류, 대두, 밀), 스위트칠리 소스 (토마토), 스위트 앤 사워 소스 (대두, 밀, 아황산류), 케이준 소스 (난류, 대두, 굴)"
맥도날드,아이스 아메리카노(시럽없음) 미디엄,음료,,400,9,1,0,0,0,119,-
맥도날드,맥윙 4조각,스낵 & 사이드,,168,455,28,1,6,1204,,"맥윙(닭고기, 난류, 대두, 밀), 스위트칠리 소스 (토마토), 스위트 앤 사워 소스 (대두, 밀, 아황산류), 케이준 소스 (난류, 대두, 굴)"
맥도날드,아이스 아메리카노(시럽없음) 라지,음료,,600,10,0,0,0,0,144,-
맥도날드,맥윙 8조각,스낵 & 사이드,,336,910,56,1,12,2408,,"맥윙(닭고기, 난류, 대두, 밀), 스위트칠리 소스 (토마토), 스위트 앤 사워 소스 (대두, 밀, 아황산류), 케이준 소스 (난류, 대두, 굴)"
맥도날드,아이스 카페라떼(시럽없음) 미디엄,음료,,400,109,6,7,3.2,50,132,우유
맥도날드,아이스 카페라떼(시럽없음) 라지,음료,,600,134,6,8,3.9,63,136,우유
맥도날드,딸기 쉐이크 미디엄,음료,,425,367,9,56,5,180,,우유
맥도날드,초코 쉐이크 미디엄,음료,,425,375,9,55,6,236,0,"우유, 대두"
맥도날드,바닐라 쉐이크 미디엄,음료,,425,366,9,55,5,206,,우유
맥도날드,바닐라 라떼 미디엄,음료,,330,227,8,28,4.6,79,131,우유
맥도날드,바닐라 라떼 라지,음료,,420,323,10,45,6,105,148,우유
맥도날드,아이스 바닐라 라떼 미디엄,음료,,400,186,6,25,3.2,50,132,우유
맥도날드,아이스 바닐라 라떼 라지,음료,,600,263,6,39,3.9,63,136,우유
맥도날드,피치 아이스티 M,음료,,400,162,0,34,0.0,8,26,복숭아
맥도날드,피치 아이스티 L,음료,,600,229,1,48,0.0,11,36,복숭아
맥도날드,망고 피치 아이스티 M,음료,,400,216,0,46,0.0,23,24,복숭아
맥도날드,망고 피치 아이스티 L,음료,,600,342,1,74,0.0,43,33,복숭아
맥도날드,디카페인 아메리카노 미디움,음료,,330,12,1,0,0.0,0,6,
맥도날드,디카페인 아메리카노 라지,음료,,420,12,1,0,0.0,4,6,
맥도날드,디카페인 아이스 아메리카노 미디움,음료,,400,8,1,0,0.0,0,4,
맥도날드,디카페인 아이스 아메리카노 라지,음료,,600,10,1,0,0.0,0,5,
맥도날드,디카페인 카페 라떼 미디움,음료,,330,150,8,10,4.4,85,4,우유
맥도날드,디카페인 카페 라떼 라지,음료,,420,190,10,13,6,107,5,우유
맥도날드,디카페인 아이스 카페 라떼 미디움,음료,,400,114,6,7,3.2,54,5,우유
