restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
메가커피,복숭아 퐁당 요거트 스무디(ICE),음료,,,506.8,6.2,100.3,2.8,97.9,0.0,
메가커피,멋쟁이 토마토 스무디(ICE),음료,,,326.9,0.4,75.7,0.0,124.3,0.0,
메가커피,포도녹차 젤리 크러쉬(ICE),음료,,,389.4,0.1,89.4,0.0,67.8,0.8,
메가커피,초당옥수수 프라페(ICE),음료,,,537.0,9.0,87.8,4.6,550.1,0.0,
메가커피,꿀수박주스(ICE),음료,,,169.8,1.8,32.3,0.1,10.0,0.0,
메가커피,자몽 톡톡 스무디(ICE),음료,,,342.3,0.7,70.6,0.1,36.2,0.0,
메가커피,제로 레몬말차 아이스티(ICE),음료,,,20.2,0.2,0.0,0.1,203.9,0.4,
메가커피,ARIH 듀얼바이오틱 소다레드 루비 갈로어,음료,,,20,0,2,0,110,0.0,
메가커피,ARIH 듀얼바이오틱 소다포지티브 오렌지,음료,,,20,0,2,0,110,0.0,
메가커피,ARIH 듀얼바이오틱 소다클리어레몬,음료,,,20,0,2,0,130,0.0,
메가커피,ARIH 듀얼바이오틱 소다피치망고 호라이즌,음료,,,20,0,2,0,70,0.0,
메가커피,ARIH 포스트바이오틱에너지 드링크 레몬크레스트,음료,,,10,1,0,0,280,100,
메가커피,ARIH 포스트바이오틱 에너지드링크 오렌지아워,음료,,,10,1,0,0,280,100,
메가커피,ARIH 포스트바이오틱에너지 드링크 트로피칼웨이브,음료,,,10,1,0,0,280,100,
메가커피,저당 꿀배 XO야쿠르트(ICE),음료,,,25.4,3.6,1.1,0.1,67.8,0.0,
메가커피,딸기라떼(ICE),음료,,,366.4,5.8,47.3,3.0,50.0,0.0,
메가커피,밀크쉐이크(ICE),음료,,,401.0,8.9,62.4,4.1,308.2,0.0,
메가커피,유자생강차(HOT),음료,,,389.4,0.2,88.7,0.0,90.7,0.0,
메가커피,초코젤라또 말차라떼(ICE),음료,,,326.8,10.1,46.8,5.1,82.4,153.8,
메가커피,(HOT)헛개리카노(HOT),음료,,,36.1,1.3,0.0,0.1,11.7,181.6,
메가커피,(ICE)헛개리카노(ICE),음료,,,34.7,1.0,0.0,0.1,8.4,181.2,
메가커피,제로 부스트 에이드(ICE),음료,,,11.7,0.7,0.3,0.1,152,0.0,
메가커피,블루베리요거트스무디(ICE),음료,,,531.8,6.0,109.3,2.5,133.5,0.0,
