restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
미스터피자,트리플 올인원 골드 M,피자,90,,219,13,7,4,383,,,
미스터피자,트리플 올인원 시그니처 M,피자,164,,412,25,12,7,710,,,
미스터피자,트리플 올인원 크림치즈 M,피자,93,,228,12,8,5,368,,,
미스터피자,트리플 올인원 에그타르트 M,피자,90,,226,12,9,4,339,,,
미스터피자,트리플 올인원 치즈캡 M,피자,88,,218,14,6,4,412,,,
미스터피자,트리플 올인원 골드 L,피자,109,,278,15,9,5,495,,,
미스터피자,트리플 올인원 시그니처 L,피자,99,,259,14,8,4,455,,,
미스터피자,트리플 올인원 크림치즈 L,피자,114,,289,14,10,6,476,,,
미스터피자,트리플 올인원 에그타르트 L,피자,109,,285,13,11,5,440,,,
미스터피자,트리플 올인원 치즈캡 L,피자,105,,270,15,7,5,514,,,
미스터피자,스페셜 콰트로 골드 M,피자,93,,235,10,4,5,386,,,
미스터피자,스페셜 콰트로 시그니처 M,피자,171,,443,20,7,9,715,,,
미스터피자,스페셜 콰트로 크림치즈 M,피자,97,,244,10,5,5,371,,,
미스터피자,스페셜 콰트로 에그타르트 M,피자,93,,241,9,6,5,341,,,
미스터피자,스페셜 콰트로 치즈캡 M,피자,92,,234,11,3,5,415,,,
미스터피자,스페셜 콰트로 골드 L,피자,147,,370,16,8,7,618,,,
미스터피자,스페셜 콰트로 시그니처 L,피자,134,,346,15,6,6,568,,,
미스터피자,스페셜 콰트로 크림치즈 L,피자,153,,384,15,9,8,594,,,
미스터피자,스페셜 콰트로 에그타르트 L,피자,147,,379,15,11,7,549,,,
미스터피자,스페셜 콰트로 치즈캡 L,피자,142,,360,17,6,7,642,,,
미스터피자,콰트로 치즈 골드 M,피자,156,,514,21,8,15,813,,,
미스터피자,콰트로 치즈 시그니처 M,피자,141,,488,21,6,14,756,,,
미스터피자,콰트로 치즈 크림치즈 M,피자,163,,533,20,10,16,783,,,
미스터피자,콰트로 치즈 에그타르트 M,피자,156,,528,20,12,15,725,,,
미스터피자,콰트로 치즈 치즈캡 M,피자,153,,512,24,6,15,871,,,
미스터피자,콰트로 치즈 골드 L,피자,98,,306,15,5,8,517,,,
미스터피자,콰트로 치즈 시그니처 L,피자,88,,287,14,4,7,477,,,
미스터피자,콰트로 치즈 크림치즈 L,피자,103,,318,14,6,8,498,,,
미스터피자,콰트로 치즈 에그타르트 L,피자,98,,313,14,8,8,462,,,
미스터피자,콰트로 치즈 치즈캡 L,피자,94,,298,16,4,8,536,,,
미스터피자,새우천왕 골드 M,피자,98,,208,12,4,4,440,,,
미스터피자,새우천왕 시그니처 M,피자,180,,389,23,5,7,824,,,
미스터피자,새우천왕 크림치즈 M,피자,101,,217,11,4,5,425,,,
미스터피자,새우천왕 에그타르트 M,피자,98,,214,11,6,4,396,,,
미스터피자,새우천왕 치즈캡 M,피자,96,,207,13,3,4,469,,,
미스터피자,새우천왕 골드 L,피자,126,,260,16,4,6,574,,,
미스터피자,새우천왕 시그니처 L,피자,115,,241,15,3,5,534,,,
미스터피자,새우천왕 크림치즈 L,피자,130,,271,15,5,7,555,,,
미스터피자,새우천왕 에그타르트 L,피자,126,,267,15,6,6,519,,,
미스터피자,새우천왕 치즈캡 L,피자,121,,252,17,3,6,593,,,
미스터피자,미스터트리오 골드 M,피자,195,,407,21,8,10,856,,,
미스터피자,미스터트리오 시그니처 M,피자,181,,384,20,6,9,806,,,
미스터피자,미스터트리오 크림치즈 M,피자,101,,212,10,5,6,415,,,
미스터피자,미스터트리오 에그타르트 M,피자,195,,419,19,11,10,778,,,
미스터피자,미스터트리오 치즈캡 M,피자,96,,203,11,3,5,454,,,
미스터피자,미스터트리오 골드 L,피자,115,,238,13,3,6,447,,,
미스터피자,미스터트리오 시그니처 L,피자,106,,223,12,2,5,414,,,
미스터피자,미스터트리오 크림치즈 L,피자,118,,248,12,4,6,431,,,
미스터피자,미스터트리오 에그타르트 L,피자,115,,244,12,5,6,401,,,
미스터피자,미스터트리오 치즈캡 L,피자,111,,232,13,2,6,463,,,
미스터피자,치즈블라썸스테이크 골드 M,피자,97,,242,12,6,5,389,,,
미스터피자,치즈블라썸스테이크 시그니처 M,피자,178,,457,23,9,9,721,,,
미스터피자,치즈블라썸스테이크 크림치즈 M,피자,100,,251,11,6,5,374,,,
미스터피자,치즈블라썸스테이크 에그타르트 M,피자,97,,249,11,7,5,345,,,
미스터피자,치즈블라썸스테이크 치즈캡 M,피자,95,,241,13,4,5,418,,,
미스터피자,치즈블라썸스테이크 골드 L,피자,123,,317,14,8,7,515,,,
미스터피자,치즈블라썸스테이크 시그니처 L,피자,113,,298,13,6,6,475,,,
미스터피자,치즈블라썸스테이크 크림치즈 L,피자,128,,328,13,9,7,496,,,
미스터피자,치즈블라썸스테이크 에그타르트 L,피자,123,,324,13,10,7,460,,,
미스터피자,치즈블라썸스테이크 치즈캡 L,피자,119,,309,15,6,6,534,,,
미스터피자,쉬림프골드 골드 M,피자,189,,392,20,5,7,861,,,
미스터피자,쉬림프골드 시그니처 M,피자,173,,365,20,3,6,805,,,
미스터피자,쉬림프골드 크림치즈 M,피자,196,,410,19,6,8,832,,,
미스터피자,쉬림프골드 에그타르트 M,피자,189,,405,18,8,8,773,,,
미스터피자,쉬림프골드 치즈캡 M,피자,185,,390,23,2,7,919,,,
미스터피자,쉬림프골드 골드 L,피자,116,,258,11,5,4,503,,,
미스터피자,쉬림프골드 시그니처 L,피자,106,,239,11,4,3,463,,,
미스터피자,쉬림프골드 크림치즈 L,피자,121,,269,10,6,5,484,,,
미스터피자,쉬림프골드 에그타르트 L,피자,116,,265,10,7,4,448,,,
미스터피자,쉬림프골드 치즈캡 L,피자,112,,250,12,4,4,522,,,
미스터피자,하프앤하프 골드 M,피자,191,,427,21,9,7,782,,,
