restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
빽다방,원조커피(ICED),커피,,,396.18,2.34,42.90,10.92,29.71,247.07,
빽다방,아이스티샷추가(아샷추),커피,,,272,0,63,0.1,19,100,
빽다방,바닐라라떼(ICED),커피,,,372,7.7,29,11.5,186,156,
빽다방,챔피언스 유자 아메리카노,커피,,,219.7,1.4,38.3,0.1,39.3,204.5,
빽다방,챔피언스 유자셔벗 아메리카노,커피,,,280.7,1.2,50.6,0.2,42.0,190.0,
빽다방,디카페인 챔피언스 유자 아메리카노,커피,,,212,0.9,35.0,0.1,37.0,17.9,
빽다방,디카페인 챔피언스 유자셔벗 아메리카노,커피,,,287.3,0.9,53.8,0.2,43.9,20,
빽다방,원조커피크림 라떼,커피,,,550,10.5,17.9,24.9,103.5,257.1,
빽다방,원조커피크림 미숫가루,커피,,,685.6,14.2,26.4,25.2,153.1,46.5,
빽다방,생크림 아메리카노(ICED),커피,,,378.2,3.0,17.0,18.3,30.5,231.9,
빽다방,생크림 카페라떼(ICED),커피,,,553.4,10.7,30.5,24.2,106.4,231.5,
빽다방,디카페인 생크림 아메리카노(ICED),커피,,,399.9,2.6,14.5,18.3,29.3,5.4,
빽다방,디카페인 생크림 카페라떼(ICED),커피,,,482.1,9.6,20.5,22.2,99.4,5.5,
빽다방,피스타치오 생크림 카페라떼(ICED),커피,,,568.3,10.6,27.4,26.5,146.9,221.6,
빽다방,디카페인 피스타치오 생크림 카페라떼(ICED),커피,,,561.2,10.9,22.0,25.7,144.1,5.0,
빽다방,에어폼 아메리카노(ICED),커피,,,21.9,1.4,0.0,0.3,3.4,293,
빽다방,더블에스프레소,커피,,,18,1,0,0.1,1,269,
빽다방,디카페인 더블에스프레소,커피,,,21,0.8,0,0.1,1,1.9,
빽다방,아메리카노(HOT),커피,,,4,0,0,0.1,7,197,
빽다방,아메리카노(ICED),커피,,,4,0,0,0.1,5,166,
빽다방,디카페인 아메리카노(HOT),커피,,,12.9,0.7,0.0,0.1,5.9,1.0,
빽다방,디카페인 아메리카노(ICED),커피,,,11.3,0.8,0.0,0.1,2.2,1.2,
빽다방,레드불 꿀샷추(ICED),커피,,,222,1.9,53,0.1,100,154,
