restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
파파존스,수퍼 파파스(R 오리지널),피자,143,,345,16,6,6,759,,,
파파존스,수퍼 파파스(L 오리지널),피자,195,,468,21,8,8,1030,,,
파파존스,수퍼 파파스(L 골드링),피자,107,,285,12,5,5,606,,,
파파존스,수퍼 파파스(L 치즈롤),피자,115,,296,14,3,6,685,,,
파파존스,수퍼 파파스(L 크루아상),피자,177,,506,20,5,12,916,,,
파파존스,수퍼 파파스(L 스파이시 갈릭 치즈롤),피자,120,,305,15,4,7,649,,,
파파존스,수퍼 파파스(L 체다치즈롤),피자,114,,281,14,4,6,656,,,
파파존스,수퍼 파파스(F 오리지널),피자,131,,315,14,5,5,693,,,
파파존스,수퍼 파파스(F 골드링),피자,170,,451,20,8,7,958,,,
파파존스,수퍼 파파스(F 치즈롤),피자,172,,441,20,5,8,1021,,,
파파존스,수퍼 파파스(F 씬),피자,194,,547,23,3,10,1127,,,
파파존스,수퍼 파파스(F 골드링씬),피자,126,,347,14,5,7,647,,,
파파존스,수퍼 파파스(F 스파이시 갈릭 치즈롤),피자,167,,424,21,6,9,903,,,
파파존스,수퍼 파파스(F 체다치즈롤),피자,158,,389,19,5,8,907,,,
파파존스,수퍼 파파스(P 오리지널),피자,133,,320,15,5,5,704,,,
파파존스,수퍼 파파스(P 골드링),피자,184,,487,21,9,8,1036,,,
파파존스,수퍼 파파스(P 치즈롤),피자,173,,445,21,5,8,1029,,,
파파존스,수퍼 파파스(P 스파이시 갈릭 치즈롤),피자,167,,424,21,6,9,904,,,
파파존스,수퍼 파파스(P 체다치즈롤),피자,170,,419,21,5,9,977,,,
파파존스,아이리쉬 포테이토(R 오리지널),피자,148,,356,14,5,5,752,,,
파파존스,아이리쉬 포테이토(L 오리지널),피자,100,,242,9,3,3,510,,,
파파존스,아이리쉬 포테이토(L 골드링),피자,110,,296,11,6,5,558,,,
파파존스,아이리쉬 포테이토(L 치즈롤),피자,120,,293,13,3,6,655,,,
파파존스,아이리쉬 포테이토(L 크루아상),피자,177,,509,17,4,10,883,,,
파파존스,아이리쉬 포테이토(L 스파이시 갈릭 치즈롤),피자,131,,333,14,4,6,681,,,
파파존스,아이리쉬 포테이토(L 체다치즈롤),피자,120,,295,13,3,5,661,,,
파파존스,아이리쉬 포테이토(F 오리지널),피자,135,,326,13,5,4,686,,,
파파존스,아이리쉬 포테이토(F 골드링),피자,175,,470,17,9,8,886,,,
파파존스,아이리쉬 포테이토(F 치즈롤),피자,177,,433,19,4,8,968,,,
파파존스,아이리쉬 포테이토(F 씬),피자,104,,274,10,2,5,514,,,
파파존스,아이리쉬 포테이토(F 골드링씬),피자,127,,342,13,5,6,586,,,
파파존스,아이리쉬 포테이토(F 스파이시 갈릭 치즈롤),피자,172,,438,19,5,8,895,,,
파파존스,아이리쉬 포테이토(F 체다치즈롤),피자,158,,391,17,4,7,875,,,
파파존스,아이리쉬 포테이토(P 오리지널),피자,137,,331,13,5,4,698,,,
파파존스,아이리쉬 포테이토(P 골드링),피자,189,,509,18,10,8,958,,,
파파존스,아이리쉬 포테이토(P 치즈롤),피자,178,,436,19,4,8,975,,,
파파존스,아이리쉬 포테이토(P 스파이시 갈릭 치즈롤),피자,172,,439,19,5,8,896,,,
파파존스,아이리쉬 포테이토(P 체다치즈롤),피자,171,,421,18,4,7,942,,,
파파존스,존스 페이버릿(L 오리지널),피자,170,,491,21,7,8,1077,,,
파파존스,존스 페이버릿(L 골드링),피자,198,,608,28,13,11,1201,,,
파파존스,존스 페이버릿(L 치즈롤),피자,112,,336,16,3,7,755,,,
파파존스,존스 페이버릿(L 크루아상),피자,150,,516,19,5,12,933,,,
파파존스,존스 페이버릿(L 스파이시 갈릭 치즈롤),피자,111,,338,16,4,7,719,,,
파파존스,존스 페이버릿(L 체다치즈롤),피자,194,,573,27,6,12,1335,,,
파파존스,존스 페이버릿(F 오리지널),피자,114,,330,14,5,5,725,,,
파파존스,존스 페이버릿(F 골드링),피자,148,,454,21,10,8,898,,,
파파존스,존스 페이버릿(F 치즈롤),피자,149,,447,21,5,10,1004,,,
파파존스,존스 페이버릿(F 씬),피자,112,,363,15,2,7,701,,,
파파존스,존스 페이버릿(F 골드링씬),피자,146,,469,19,7,11,813,,,
파파존스,존스 페이버릿(F 스파이시 갈릭 치즈롤),피자,145,,444,21,5,10,945,,,
파파존스,존스 페이버릿(F 체다치즈롤),피자,134,,396,19,4,8,924,,,
파파존스,존스 페이버릿(P 오리지널),피자,116,,336,14,5,5,737,,,
파파존스,존스 페이버릿(P 골드링),피자,160,,492,23,10,9,971,,,
파파존스,존스 페이버릿(P 치즈롤),피자,151,,450,21,5,10,1011,,,
파파존스,존스 페이버릿(P 스파이시 갈릭 치즈롤),피자,146,,445,21,5,10,946,,,
파파존스,존스 페이버릿(P 체다치즈롤),피자,144,,427,20,5,9,995,,,
파파존스,올미트(R 오리지널),피자,146,,371,19,6,7,839,,,
파파존스,올미트(L 오리지널),피자,198,,503,26,8,9,1139,,,
파파존스,올미트(L 골드링),피자,116,,312,17,7,7,635,,,
파파존스,올미트(L 치즈롤),피자,131,,344,20,4,9,798,,,
파파존스,올미트(L 크루아상),피자,175,,529,23,5,15,986,,,
파파존스,올미트(L 스파이시 갈릭 치즈롤),피자,129,,347,20,4,9,761,,,
파파존스,올미트(L 체다치즈롤),피자,113,,294,17,3,7,706,,,
파파존스,올미트(F 오리지널),피자,133,,338,17,5,6,767,,,
파파존스,올미트(F 골드링),피자,173,,466,26,10,10,949,,,
파파존스,올미트(F 치즈롤),피자,175,,458,26,5,11,1061,,,
파파존스,올미트(F 씬),피자,131,,372,19,2,9,741,,,
파파존스,올미트(F 골드링씬),피자,171,,481,23,7,13,860,,,
파파존스,올미트(F 스파이시 갈릭 치즈롤),피자,170,,456,26,5,12,1000,,,
파파존스,올미트(F 체다치즈롤),피자,157,,406,23,5,10,977,,,
파파존스,올미트(P 오리지널),피자,136,,344,18,5,6,780,,,
파파존스,올미트(P 골드링),피자,187,,504,28,11,11,1027,,,
파파존스,올미트(P 치즈롤),피자,176,,462,26,5,12,1069,,,
파파존스,올미트(P 스파이시 갈릭 치즈롤),피자,170,,456,26,5,12,1001,,,
파파존스,올미트(P 체다치즈롤),피자,169,,438,25,5,11,1052,,,
파파존스,스파이시 치킨 랜치(R 오리지널),피자,128,,358,14,5,5,862,,,
파파존스,스파이시 치킨 랜치(L 오리지널),피자,174,,485,20,6,7,1170,,,
파파존스,스파이시 치킨 랜치(L 골드링),피자,108,,299,16,6,5,642,,,
파파존스,스파이시 치킨 랜치(L 치즈롤),피자,108,,313,14,3,6,764,,,
파파존스,스파이시 치킨 랜치(L 크루아상),피자,153,,510,18,4,11,1013,,,
파파존스,스파이시 치킨 랜치(L 스파이시 갈릭 치즈롤),피자,113,,334,15,4,6,781,,,
파파존스,스파이시 치킨 랜치(L 체다치즈롤),피자,108,,307,14,3,6,787,,,
파파존스,스파이시 치킨 랜치(F 오리지널),피자,117,,327,13,4,5,787,,,
파파존스,스파이시 치킨 랜치(F 골드링),피자,151,,420,23,9,7,903,,,
파파존스,스파이시 치킨 랜치(F 치즈롤),피자,153,,445,20,5,8,1088,,,
파파존스,스파이시 치킨 랜치(F 씬),피자,184,,576,24,3,10,1195,,,
파파존스,스파이시 치킨 랜치(F 골드링씬),피자,121,,368,14,5,8,671,,,
파파존스,스파이시 치킨 랜치(F 스파이시 갈릭 치즈롤),피자,149,,440,19,5,8,1027,,,
파파존스,스파이시 치킨 랜치(F 체다치즈롤),피자,137,,392,17,4,7,1003,,,
파파존스,스파이시 치킨 랜치(P 오리지널),피자,119,,332,13,4,5,801,,,
파파존스,스파이시 치킨 랜치(P 골드링),피자,164,,454,25,9,7,977,,,
파파존스,스파이시 치킨 랜치(P 치즈롤),피자,154,,448,20,5,8,1096,,,
파파존스,스파이시 치킨 랜치(P 스파이시 갈릭 치즈롤),피자,149,,440,19,5,8,1028,,,
파파존스,스파이시 치킨 랜치(P 체다치즈롤),피자,148,,422,19,4,8,1080,,,
파파존스,치킨 바베큐(R 오리지널),피자,151,,345,18,4,4,868,,,
파파존스,치킨 바베큐(L 오리지널),피자,102,,232,12,3,3,583,,,
파파존스,치킨 바베큐(L 골드링),피자,121,,293,16,5,4,663,,,
파파존스,치킨 바베큐(L 치즈롤),피자,116,,273,16,2,4,703,,,
파파존스,치킨 바베큐(L 크루아상),피자,179,,488,22,4,9,1009,,,
파파존스,치킨 바베큐(L 스파이시 갈릭 치즈롤),피자,116,,278,16,3,4,678,,,
파파존스,치킨 바베큐(L 체다치즈롤),피자,116,,271,15,2,4,722,,,
파파존스,치킨 바베큐(F 오리지널),피자,141,,321,17,4,4,806,,,
파파존스,치킨 바베큐(F 골드링),피자,168,,406,23,7,5,917,,,
파파존스,치킨 바베큐(F 치즈롤),피자,161,,378,22,3,6,973,,,
파파존스,치킨 바베큐(F 씬),피자,101,,256,13,1,4,566,,,
파파존스,치킨 바베큐(F 골드링씬),피자,133,,337,16,4,6,669,,,
파파존스,치킨 바베큐(F 스파이시 갈릭 치즈롤),피자,160,,385,22,4,6,938,,,
파파존스,치킨 바베큐(F 체다치즈롤),피자,161,,375,21,3,6,999,,,
파파존스,치킨 바베큐(P 오리지널),피자,151,,345,18,4,4,868,,,
파파존스,치킨 바베큐(P 골드링),피자,180,,437,24,8,6,987,,,
파파존스,치킨 바베큐(P 치즈롤),피자,173,,407,23,3,6,1047,,,
파파존스,치킨 바베큐(P 스파이시 갈릭 치즈롤),피자,172,,415,24,4,7,1010,,,
파파존스,치킨 바베큐(P 체다치즈롤),피자,173,,403,23,4,6,1076,,,
