# 파파존스(pji.co.kr) 영양성분 모달 원본 캡처 2026-09-01
# 출처: https://pji.co.kr/menu/pizza/1000 > '영양 정보·원산지·알레르기' 모달 > 영양성분 탭
# 피자 행 구조: 첫 행 = 제품명\t사이즈\t도우\t총열량범위\t총중량(g)(총제공횟수)\t1회제공량(g)(기준조각수)\t열량\t당류\t단백질\t포화지방\t나트륨(10칸)
#              이후 행 = 사이즈부터 시작(9칸, 제품명은 직전 행에서 carry-forward)
# 사이즈: R=레귤러 L=라지 F=패밀리 P=파티. 1회 제공량 기준.
### 피자 (324행)
제품명	구분(사이즈)	도우	총 열량 범위(Kcal)	총 중량(g)(총 제공 횟수)	1회 제공량(g)(기준 조각수)	열량(Kcal)	당류(g)	단백질(g)	포화지방(g)	나트륨(mg)
수퍼 파파스	R	오리지널	622~1567	430(3)	143(2)	345	6	16	6	759
L	오리지널	1043~2918	778(4)	195(2)	468	8	21	8	1030
L	골드링	1733~3327	859(8)	107(1)	285	5	12	5	606
L	치즈롤	1521~3413	920(8)	115(1)	296	3	14	6	685
L	크루아상	2231~3071	706(4)	177(2)	506	5	20	12	916
L	스파이시 갈릭 치즈롤	1553~3483	959(8)	120(1)	305	4	15	7	649
L	체다치즈롤	1493~3294	913(8)	114(1)	281	4	14	6	656
F	오리지널	1482~3993	1047(8)	131(1)	315	5	14	5	693
F	골드링	2351~5079	1358(8)	170(1)	451	8	20	7	958
F	치즈롤	2109~5003	1372(8)	172(1)	441	5	20	8	1021
F	씬	2444~3661	776(4)	194(2)	547	3	23	10	1127
F	골드링씬	1755~4252	1004(8)	126(1)	347	5	14	7	647
F	스파이시 갈릭 치즈롤	2100~4865	1335(8)	167(1)	424	6	21	9	903
F	체다치즈롤	2076~4584	1264(8)	158(1)	389	5	19	8	907
P	오리지널	1996~5109	1331(10)	133(1)	320	5	15	5	704
P	골드링	3151~6781	1836(10)	184(1)	487	9	21	8	1036
P	치즈롤	2772~6351	1728(10)	173(1)	445	5	21	8	1029
P	스파이시 갈릭 치즈롤	2731~6151	1670(10)	167(1)	424	6	21	9	904
P	체다치즈롤	2733~6092	1701(10)	170(1)	419	5	21	9	977
아이리쉬 포테이토	R	오리지널	622~1602	443(3)	148(2)	356	5	14	5	752
L	오리지널	1043~2981	802(8)	100(1)	242	3	9	3	510
L	골드링	1733~3415	881(8)	110(1)	296	6	11	5	558
L	치즈롤	1521~3394	958(8)	120(1)	293	3	13	6	655
L	크루아상	2231~3082	708(4)	177(2)	509	4	17	10	883
L	스파이시 갈릭 치즈롤	1553~3713	1047(8)	131(1)	333	4	14	6	681
L	체다치즈롤	1493~3410	958(8)	120(1)	295	3	13	5	661
F	오리지널	1482~4077	1079(8)	135(1)	326	5	13	4	686
F	골드링	2351~5237	1400(8)	175(1)	470	9	17	8	886
F	치즈롤	2109~4938	1414(8)	177(1)	433	4	19	8	968
F	씬	2444~3663	833(8)	104(1)	274	2	10	5	514
F	골드링씬	1755~4209	1017(8)	127(1)	342	5	13	6	586
F	스파이시 갈릭 치즈롤	2100~4978	1376(8)	172(1)	438	5	19	8	895
F	체다치즈롤	2076~4599	1267(8)	158(1)	391	4	17	7	875
P	오리지널	1996~5216	1372(10)	137(1)	331	5	13	4	698
P	골드링	3151~6994	1893(10)	189(1)	509	10	18	8	958
P	치즈롤	2772~6269	1781(10)	178(1)	436	4	19	8	975
P	스파이시 갈릭 치즈롤	2731~6293	1722(10)	172(1)	439	5	19	8	896
P	체다치즈롤	2733~6114	1706(10)	171(1)	421	4	18	7	942
존스 페이버릿	L	오리지널	1043~3009	678(4)	170(2)	491	7	21	8	1077
L	골드링	1733~3479	792(4)	198(2)	608	13	28	11	1201
L	치즈롤	1521~3734	899(8)	112(1)	336	3	16	7	755
L	크루아상	2231~3110	598(4)	150(2)	516	5	19	12	933
L	스파이시 갈릭 치즈롤	1553~3751	885(8)	111(1)	338	4	16	7	719
L	체다치즈롤	1493~3338	774(4)	194(2)	573	6	27	12	1335
F	오리지널	1482~4114	912(8)	114(1)	330	5	14	5	725
F	골드링	2351~5108	1184(8)	148(1)	454	10	21	8	898
F	치즈롤	2109~5048	1196(8)	149(1)	447	5	21	10	1004
F	씬	2444~4376	898(8)	112(1)	363	2	15	7	701
F	골드링씬	1755~5223	1169(8)	146(1)	469	7	19	11	813
F	스파이시 갈릭 치즈롤	2100~5028	1163(8)	145(1)	444	5	21	10	945
F	체다치즈롤	2076~4643	1071(8)	134(1)	396	4	19	8	924
P	오리지널	1996~5262	1160(10)	116(1)	336	5	14	5	737
P	골드링	3151~6821	1600(10)	160(1)	492	10	23	9	971
P	치즈롤	2772~6407	1506(10)	151(1)	450	5	21	10	1011
P	스파이시 갈릭 치즈롤	2731~6354	1455(10)	146(1)	445	5	21	10	946
P	체다치즈롤	2733~6173	1442(10)	144(1)	427	5	20	9	995
올미트	R	오리지널	622~1644	438(3)	146(2)	371	6	19	7	839
L	오리지널	1043~3058	793(4)	198(2)	503	8	26	9	1139
L	골드링	1733~3540	926(8)	116(1)	312	7	17	7	635
L	치즈롤	1521~3802	1051(8)	131(1)	344	4	20	9	798
L	크루아상	2231~3162	700(4)	175(2)	529	5	23	15	986
L	스파이시 갈릭 치즈롤	1553~3819	1035(8)	129(1)	347	4	20	9	761
L	체다치즈롤	1493~3396	905(8)	113(1)	294	3	17	7	706
F	오리지널	1482~4180	1067(8)	133(1)	338	5	17	6	767
F	골드링	2351~5200	1384(8)	173(1)	466	10	26	10	949
F	치즈롤	2109~5138	1399(8)	175(1)	458	5	26	11	1061
F	씬	2444~4449	1050(8)	131(1)	372	2	19	9	741
F	골드링씬	1755~5317	1367(8)	171(1)	481	7	23	13	860
F	스파이시 갈릭 치즈롤	2100~5117	1360(8)	170(1)	456	5	26	12	1000
F	체다치즈롤	2076~4723	1253(8)	157(1)	406	5	23	10	977
P	오리지널	1996~5347	1357(10)	136(1)	344	5	18	6	780
P	골드링	3151~6945	1872(10)	187(1)	504	11	28	11	1027
P	치즈롤	2772~6521	1761(10)	176(1)	462	5	26	12	1069
P	스파이시 갈릭 치즈롤	2731~6467	1702(10)	170(1)	456	5	26	12	1001
P	체다치즈롤	2733~6281	1686(10)	169(1)	438	5	25	11	1052
스파이시 치킨 랜치	R	오리지널	622~1605	384(3)	128(2)	358	5	14	5	862
L	오리지널	1043~2987	694(4)	174(2)	485	6	20	7	1170
L	골드링	1733~3435	861(8)	108(1)	299	6	16	5	642
L	치즈롤	1521~3547	860(8)	108(1)	313	3	14	6	764
L	크루아상	2231~3088	613(4)	153(2)	510	4	18	11	1013
L	스파이시 갈릭 치즈롤	1553~3722	906(8)	113(1)	334	4	15	6	781
L	체다치즈롤	1493~3506	860(8)	108(1)	307	3	14	6	787
F	오리지널	1482~4085	934(8)	117(1)	327	4	13	5	787
F	골드링	2351~4833	1212(8)	151(1)	420	9	23	7	903
F	치즈롤	2109~5032	1224(8)	153(1)	445	5	20	8	1088
F	씬	2444~3777	737(4)	184(2)	576	3	24	10	1195
F	골드링씬	1755~4416	969(8)	121(1)	368	5	14	8	671
F	스파이시 갈릭 치즈롤	2100~4989	1190(8)	149(1)	440	5	19	8	1027
F	체다치즈롤	2076~4609	1097(8)	137(1)	392	4	17	7	1003
P	오리지널	1996~5226	1187(10)	119(1)	332	4	13	5	801
P	골드링	3151~6449	1638(10)	164(1)	454	9	25	7	977
P	치즈롤	2772~6387	1541(10)	154(1)	448	5	20	8	1096
P	스파이시 갈릭 치즈롤	2731~6306	1490(10)	149(1)	440	5	19	8	1028
P	체다치즈롤	2733~6127	1476(10)	148(1)	422	4	19	8	1080
치킨 바베큐	R	오리지널	622~1569	454(3)	151(2)	345	4	18	4	868
L	오리지널	1043~2901	813(8)	102(1)	232	3	12	3	583
L	골드링	1733~3392	969(8)	121(1)	293	5	16	4	663
L	치즈롤	1521~3234	928(8)	116(1)	273	2	16	4	703
L	크루아상	2231~2997	718(4)	179(2)	488	4	22	9	1009
L	스파이시 갈릭 치즈롤	1553~3274	925(8)	116(1)	278	3	16	4	678
L	체다치즈롤	1493~3212	928(8)	116(1)	271	2	15	4	722
F	오리지널	1482~4039	1125(8)	141(1)	321	4	17	4	806
F	골드링	2351~4718	1340(8)	168(1)	406	7	23	5	917
F	치즈롤	2109~4500	1285(8)	161(1)	378	3	22	6	973
F	씬	2444~3524	805(8)	101(1)	256	1	13	4	566
F	골드링씬	1755~4168	1066(8)	133(1)	337	4	16	6	669
F	스파이시 갈릭 치즈롤	2100~4556	1279(8)	160(1)	385	4	22	6	938
F	체다치즈롤	2076~4470	1285(8)	161(1)	375	3	21	6	999
P	오리지널	1996~5360	1514(10)	151(1)	345	4	18	4	868
P	골드링	3151~6273	1804(10)	180(1)	437	8	24	6	987
P	치즈롤	2772~5980	1729(10)	173(1)	407	3	23	6	1047
P	스파이시 갈릭 치즈롤	2731~6055	1722(10)	172(1)	415	4	24	7	1010
P	체다치즈롤	2733~5939	1729(10)	173(1)	403	4	23	6	1076
가든 스페셜	R	오리지널	622~1451	430(3)	143(2)	306	5	12	4	671
L	오리지널	1043~2709	778(4)	194(2)	416	6	16	5	910
L	골드링	1733~3107	909(8)	114(1)	258	5	11	4	508
L	치즈롤	1521~3323	1031(8)	129(1)	285	3	12	5	638
L	크루아상	2231~2795	687(4)	172(2)	437	4	15	8	788
L	스파이시 갈릭 치즈롤	1553~3337	1015(8)	127(1)	286	3	12	5	608
L	체다치즈롤	1493~2987	888(8)	111(1)	243	3	10	4	564
F	오리지널	1482~3710	1047(8)	131(1)	280	4	11	4	612
F	골드링	2351~4552	1358(8)	170(1)	385	8	16	6	759
F	치즈롤	2109~4501	1372(8)	172(1)	379	4	16	7	848
F	씬	2444~3932	1030(8)	129(1)	307	1	12	5	592
F	골드링씬	1755~4649	1341(8)	168(1)	397	6	15	7	687
F	스파이시 갈릭 치즈롤	2100~4484	1335(8)	167(1)	376	4	16	7	799
F	체다치즈롤	2076~4158	1229(8)	154(1)	336	4	14	6	780
P	오리지널	1996~4749	1331(10)	133(1)	284	4	11	4	623
P	골드링	3151~6069	1836(10)	184(1)	416	9	17	6	820
P	치즈롤	2772~5719	1728(10)	173(1)	381	4	16	7	854
P	스파이시 갈릭 치즈롤	2731~5674	1670(10)	167(1)	377	4	16	7	800
P	체다치즈롤	2733~5520	1655(10)	165(1)	361	4	15	6	840
더블 치즈버거	L	오리지널	1043~3336	789(4)	197(2)	572	10	21	9	1178
L	골드링	1733~3884	922(8)	115(1)	355	9	14	7	657
L	치즈롤	1521~4181	1046(8)	131(1)	392	5	16	8	825
L	크루아상	2231~3454	696(4)	174(2)	602	7	19	14	1020
L	스파이시 갈릭 치즈롤	1553~4201	1030(8)	129(1)	394	5	16	9	786
L	체다치즈롤	1493~3719	901(8)	113(1)	334	4	14	7	730
F	오리지널	1482~4553	1062(8)	133(1)	385	7	14	6	792
F	골드링	2351~5714	1377(8)	172(1)	530	13	21	10	982
F	치즈롤	2109~5643	1391(8)	174(1)	521	6	21	11	1097
F	씬	2444~4859	1045(8)	131(1)	423	2	16	9	766
F	골드링씬	1755~5847	1360(8)	170(1)	547	9	19	13	889
F	스파이시 갈릭 치즈롤	2100~5620	1353(8)	169(1)	518	7	21	11	1033
F	체다치즈롤	2076~5171	1247(8)	156(1)	462	6	19	10	1010
P	오리지널	1996~5821	1350(10)	135(1)	392	7	15	6	806
P	골드링	3151~7639	1862(10)	186(1)	573	14	23	11	1062
P	치즈롤	2772~7157	1752(10)	175(1)	525	6	22	11	1105
P	스파이시 갈릭 치즈롤	2731~7095	1694(10)	169(1)	519	7	21	11	1035
P	체다치즈롤	2733~6884	1678(10)	168(1)	498	7	20	11	1087
스파이시 이탈리안	L	오리지널	1043~3009	717(4)	179(2)	491	7	20	8	1147
L	골드링	1733~3480	837(8)	105(1)	304	6	13	6	640
L	치즈롤	1521~3735	951(8)	119(1)	336	4	15	7	803
L	크루아상	2231~3111	633(4)	158(2)	516	5	18	13	993
L	스파이시 갈릭 치즈롤	1553~3752	936(8)	117(1)	338	4	15	8	766
L	체다치즈롤	1493~3338	819(8)	102(1)	287	3	13	6	711
F	오리지널	1482~4114	965(8)	121(1)	330	5	13	5	772
F	골드링	2351~5110	1252(8)	156(1)	455	10	20	9	956
F	치즈롤	2109~5049	1265(8)	158(1)	447	5	20	10	1069
F	씬	2444~4377	949(8)	119(1)	363	2	15	8	746
F	골드링씬	1755~5224	1236(8)	155(1)	469	7	18	11	866
F	스파이시 갈릭 치즈롤	2100~5029	1230(8)	154(1)	445	5	20	10	1007
F	체다치즈롤	2076~4644	1133(8)	142(1)	396	4	18	9	984
P	오리지널	1996~5264	1227(10)	123(1)	336	5	14	6	785
P	골드링	3151~6822	1692(10)	169(1)	492	11	22	9	1034
P	치즈롤	2772~6409	1592(10)	159(1)	450	5	20	10	1077
P	스파이시 갈릭 치즈롤	2731~6356	1539(10)	154(1)	445	5	20	10	1008
P	체다치즈롤	2733~6175	1525(10)	152(1)	427	5	19	9	1059
식스 치즈	L	오리지널	1043~2791	641(4)	160(2)	436	8	19	6	980
L	골드링	1733~3209	749(4)	187(2)	541	13	26	9	1093
L	치즈롤	1521~3435	850(8)	106(1)	299	4	15	6	686
L	크루아상	2231~2881	566(4)	141(2)	459	5	18	10	848
L	스파이시 갈릭 치즈롤	1553~3451	836(8)	105(1)	301	4	15	6	654
L	체다치즈롤	1493~3083	732(4)	183(2)	509	7	25	10	1214
F	오리지널	1482~3820	863(8)	108(1)	293	5	13	4	659
F	골드링	2351~4705	1119(8)	140(1)	404	10	20	7	817
F	치즈롤	2109~4651	1130(8)	141(1)	397	5	20	8	913
F	씬	2444~4053	849(8)	106(1)	323	2	14	6	637
F	골드링씬	1755~4806	1105(8)	138(1)	417	7	18	9	740
F	스파이시 갈릭 치즈롤	2100~4633	1100(8)	137(1)	395	5	19	8	860
F	체다치즈롤	2076~4291	1013(8)	127(1)	352	5	17	7	840
