restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
파리바게뜨,한입 프레즐(6개입),,108,,315,9,6,5,770,,
파리바게뜨,블루베리 베이글,,128,,345,9,17,3.5,990,,
파리바게뜨,크림치즈 프레즐,,55,,160,4,3,2.6,390,,
파리바게뜨,주스레드 (JUS레드),,,,92,0,20,0,25,,
파리바게뜨,짱구는 못말려 청포도맛(PET),,,,78,0,17,0,5,,
파리바게뜨,달콤바삭 크룽지,,28,,115,1,9,3.5,100,,
파리바게뜨,사각사각 애플파이,,70,,245,3,4,10,230,,
파리바게뜨,"춘식, 어피치, 라이언 젤로미 롤리팝",,37,,135,0,26,0,36,,
파리바게뜨,상어가족 젤로미 롤리팝,,37,,135,0,26,0,36,,
파리바게뜨,따자몽,,280,,180,1,38,0,15,,
파리바게뜨,프랑스정통바게뜨(H),,135,,365,12,4,0.5,650,,
파리바게뜨,프랑스정통바게뜨,,270,,730,23,8,1.1,1300,,
파리바게뜨,아기상어 젤리스틱,,300,,20,0,4,0,24,,
파리바게뜨,위토스하트(골든),,112.5,,523,5,52,22,80,,
파리바게뜨,후르티아오젤리 석류,,140,,115,0,23,0.8,130,,
파리바게뜨,뽀로로 롤리초코,,20,,116,1,10,4.7,15,,
파리바게뜨,상어가족 롤리초코,,20,,120,1,10,4.8,5,,
파리바게뜨,[파란라벨]치킨에그 통곡물 샌드위치,,245,,635,23,13,6,1360,,
파리바게뜨,롱스틱파이,,66,,322,4,16,7,180,,
파리바게뜨,[파란라벨]롤치즈 브레드,,221,,590,24,9,15,1460,,
파리바게뜨,세가지 치즈베이글,,124,,285,11,6,2.9,580,,
파리바게뜨,따유자,,290,,206,1,45,0,40,,
파리바게뜨,그릴치즈 바질토마토,,92,,305,12,3,6,560,,
파리바게뜨,그릴치즈 베이컨포테이토,,101,,315,11,4,4.7,450,,
파리바게뜨,부드럽고 촉촉한 굿모닝롤,,240,,310,8,13,3.8,340,,
파리바게뜨,사파리 친구들 케이크,,1235,,420,5,25,12,130,,
파리바게뜨,LA쫀득도넛,,50,,235,2,9,7,95,,
파리바게뜨,부드러운 모닝롤(4개입),,144,,480,9,27,5,540,,
파리바게뜨,프렌치 붓세(가성비),,40,,151,2,12,3,45,,
파리바게뜨,[파란라벨]식이섬유 흑보리식빵,,450,,260,9,7,1.4,530,,
파리바게뜨,스파클링 라임,,,,0,0,0,0,0,,
파리바게뜨,미니 찹쌀도넛,,35,,140,2,6,0.5,140,,
파리바게뜨,흑미보리차,,,,12,0,0,0,15,,
파리바게뜨,데일리주스 복숭아&망고,,,,135,0,33,0,0,,
파리바게뜨,마늘빵 (5개입),,105,,355,7,17,4.3,460,,
파리바게뜨,녹차(프루티하동),,250,,,0,,0,0,,
파리바게뜨,치즈듬뿍 치킨로제도리아,,325,,515,32,9,10,1660,,
파리바게뜨,치즈듬뿍 볼로네제 파스타,,385,,665,27,12,11,1580,,
파리바게뜨,[파란라벨]홀그레인 오트 식빵,,325,,255,8,5,2,400,,
파리바게뜨,우유 모나카 아이스크림,,,,160,3,14,2,40,,
파리바게뜨,[파란라벨]고식이섬유 통밀 식빵,,455,,265,7,9,2.2,510,,
파리바게뜨,곰곰이 젤리해(망고&포도),,64,,230,4,34,0,0,,
파리바게뜨,행복한 시간,,1580,,400,4,20,12,160,,
파리바게뜨,온브레드크림치즈(플레인),,80,,273,7,5,16,200,,
파리바게뜨,갈릭 꼬구마(가성비),,24,,75,1,3,2,90,,
파리바게뜨,단짠 쏘시지(가성비),,32,,90,3,2,1.7,210,,
파리바게뜨,도넛 깨찰이(가성비),,32,,145,1,2,1.1,160,,
파리바게뜨,카라멜 마끼아또,,235,,220,6,24,4.5,110,,
파리바게뜨,고소한 옥수수 식빵,,420,,270,8,8,2.7,500,,
파리바게뜨,카페라떼,,240,,140,7,9,5,100,,
파리바게뜨,(HOT) 아메리카노,,280,,15,1,0,0,10,,
파리바게뜨,(ICE) 아메리카노,,330,,15,1,0,0,10,,
파리바게뜨,아이스 카페라떼,,330,,110,5,7,4,80,,
파리바게뜨,바닐라라떼,,260,,210,7,25,5,105,,
파리바게뜨,빅 아이스 아메리카노,,600,,15,1,0,0,20,,
파리바게뜨,[파란라벨]오트그레인 깜빠뉴,,209,,435,11,17,0.8,740,,
파리바게뜨,[파란라벨]호두호밀 사워도우(H),,207,,610,21,9,2.2,1040,,
파리바게뜨,쉬림프 비스큐 리조또,,350,,590,15,13,13,1280,,
파리바게뜨,베리밤 레드 케이크,,680,,240,4,17,9,45,,
파리바게뜨,딸기아이스캔디,,,,95,2,10,1.8,30,,
파리바게뜨,커피아이스캔디,,,,120,2,9,4.2,30,,
파리바게뜨,영원한 사랑,,1700,,390,4,20,12,160,,
파리바게뜨,오리지널 쫀득 츄러스,,53,,215,2,6,3.4,150,,
파리바게뜨,시금치버터빵(1/2),,72,,215,6,4,6,520,,
파리바게뜨,감자 크로켓(2개입),,106,,305,3,9,3.9,330,,
파리바게뜨,감자 크로켓,,53,,155,1,4,1.9,160,,
파리바게뜨,고소한 치즈 핑거스틱,,100,,320,8,13,9,430,,
파리바게뜨,소금버터식빵(1/2),,107,,340,8,6,8,540,,
파리바게뜨,우베생크림빵,,106,,290,5,14,11,220,,
파리바게뜨,인생크림빵 메론,,106,,315,5,14,10,210,,
파리바게뜨,LA초코쫀득도넛,,50,,225,2,9,7,95,,
파리바게뜨,LA초코볼(3개입),,111,,375,11,15,4.7,470,,
파리바게뜨,당근이세요? 케이크,,125,,435,8,23,7,230,,
파리바게뜨,쿠키 앤 치즈 케이크,,120,,450,5,23,16,180,,
파리바게뜨,[파란라벨]저당 말차 케이크,,410,,350,4,4,14,70,,
파리바게뜨,LA올레 케이크,,450,,375,4,18,13,140,,
파리바게뜨,더피&서씨 복 케이크,,410,,,3,15,16,90,,
파리바게뜨,프룻밤 케이크,,622,,165,2,11,6,20,,
파리바게뜨,베리밤 케이크,,530,,165,3,10,6,50,,
파리바게뜨,헌트릭스 골든 케이크,,400,,,4,17,10,90,,
파리바게뜨,소다팝 케이크,,450,,,4,18,9,95,,
파리바게뜨,더피 케이크,,410,,335,4,15,14,80,,
파리바게뜨,헌트릭스 케이크,,400,,,3,12,13,85,,
파리바게뜨,[파란라벨]저당 그릭요거트 케이크,,370,,245,4,4.9,11,85,,
파리바게뜨,미트볼 토마토 파스타,,350,,505,27,11,7,1360,,
