restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
폴바셋,커피큐브 WITH 아메리카노,커피,,,30,1.3,0.4,0.1,1,308,
폴바셋,콜드브루 푸릇프룻,커피,,,10,0.8,0,0,1,130,
폴바셋,콜드브루 라떼 푸릇프룻,커피,,,130,6,9,4.2,95,130,
폴바셋,아이스 룽고,커피,,,15,1,,0,,225,
폴바셋,룽고,커피,,,15,1,,0,,225,
폴바셋,아이스 아메리카노,커피,,,10,1,0,0.1,140,160,
폴바셋,아메리카노,커피,,,10,1,,0,,160,
폴바셋,리스트레토,커피,,,10,1,0,0,0,150,
폴바셋,에스프레소,커피,,,15,1,,0,,225,
폴바셋,에스프레소 마키아토,커피,,,35,2,2,1,20,113,
폴바셋,초콜릿 에스프레소 콘 파나,커피,,,90,2,8,3.5,20,114,
폴바셋,커피큐브 WITH 카페라떼,커피,,,155,6,9,4.3,95,370,
폴바셋,제주말차 카페라떼,커피,,,315,8,30,12,135,384,
폴바셋,아이스 제주말차 카페라떼,커피,,,245,5,25,9,85,364,
폴바셋,카페라떼,커피,,,210,10,15,7,150,225,
폴바셋,아이스 카페라떼,커피,,,135,6,9,4.2,90,225,
폴바셋,락토프리 카페 라떼,커피,,,180,10,9,7,120,225,
폴바셋,아이스 락토프리 카페 라떼,커피,,,115,6,5,4,75,225,
폴바셋,카페 오트,커피,,,235,4,4,1,145,225,
폴바셋,아이스 카페 오트,커피,,,145,2,3,0.6,90,225,
폴바셋,플랫 화이트,커피,,,120,6,7,3.7,75,225,
폴바셋,아이스 플랫화이트,커피,,,105,5,7,3.3,70,185,
폴바셋,바닐라빈 카페라떼,커피,,,250,9,22,6,65,225,
폴바셋,아이스 바닐라빈 카페라떼,커피,,,190,7,14,4,50,225,
폴바셋,시나몬 카페 라떼,커피,,,260,9,31,7,110,225,
폴바셋,아이스 시나몬 카페 라떼,커피,,,185,6,22,4.4,55,225,
폴바셋,스페니쉬 카페 라떼 [연유],커피,,,310,6,28,12,115,225,
폴바셋,아이스 스페니쉬 카페 라떼 [연유],커피,,,295,6,28,11,100,225,
폴바셋,카라멜 마키아토,커피,,,600,8,68,14,245,225,
폴바셋,아이스 카라멜 마키아토,커피,,,405,8,43,12,170,225,
폴바셋,카페 모카,커피,,,300,10,25,9,105,225,
폴바셋,아이스 카페 모카,커피,,,250,7,22,9,80,245,
폴바셋,카푸치노,커피,,,195,9,14,7,140,225,
폴바셋,VENTI 콜드브루,커피,,,15,1,0,0,0,266,
폴바셋,VENTI 콜드브루 라떼,커피,,,200,9,14,6,140,266,
폴바셋,디카페인 아메리카노,커피,,,10,1,0,0,0,10,
폴바셋,아이스 디카페인 아메리카노,커피,,,10,1,0,0,0,10,
폴바셋,디카페인 카페라떼,커피,,,210,10,15,7,150,10,
폴바셋,아이스 디카페인 카페라떼,커피,,,135,6,9,4.2,90,10,
폴바셋,디카페인 밀크 소프트 아포가토,커피,,,210,5,22,10,80,10,
폴바셋,디카페인 락토프리 카페라떼,커피,,,180,10,9,7,120,10,
폴바셋,아이스 디카페인 락토프리 카페라떼,커피,,,115,6,5,4,75,10,
폴바셋,디카페인 카페오트,커피,,,235,4,4,1,145,10,
폴바셋,아이스 디카페인 카페오트,커피,,,145,2,3,0.6,90,10,
폴바셋,디카페인 카푸치노,커피,,,210,10,15,7,150,10,
폴바셋,아이스 디카페인 아이스크림 카페라떼,커피,,,335,10,33,13,115,10,
폴바셋,디카페인 시나몬 카페라떼,커피,,,260,9,31,7,110,10,
폴바셋,아이스 디카페인 시나몬 카페라떼,커피,,,185,6,22,4.4,55,10,
폴바셋,디카페인 바닐라빈 카페라떼,커피,,,250,9,22,6,65,10,
폴바셋,아이스 디카페인 바닐라빈 카페라떼,커피,,,190,7,15,4,50,10,
폴바셋,디카페인 스페니쉬 카페라떼,커피,,,310,6,28,12,115,10,
폴바셋,아이스 디카페인 스페니쉬 카페라떼,커피,,,295,6,28,11,100,10,
폴바셋,디카페인 카라멜 마키아토,커피,,,600,14,68,14,245,10,
폴바셋,아이스 디카페인카라멜 마키아토,커피,,,405,8,43,12,170,10,
폴바셋,디카페인 플랫화이트,커피,,,120,6,7,3.7,75,10,
폴바셋,아이스 디카페인 플랫화이트,커피,,,105,5,7,3.3,70,10,
폴바셋,아이스크림 멜론 프라페,베버리지,,,520,7,78,11,195,,
폴바셋,우바 아쌈 밀크티,베버리지,,,285,8,23,6,135,134,
폴바셋,아이스 우바 아쌈 밀크티,베버리지,,,235,6,20,4.1,100,137,
폴바셋,커피큐브 WITH 우바아쌈밀크티,베버리지,,,250,6,20,4.1,100,215,
폴바셋,생 토마토 주스,베버리지,,,75,1,14,0.1,0,0,
폴바셋,베리베리 에이드,베버리지,,,120,0,27,0,15,0,
폴바셋,딥 초콜릿 라떼,베버리지,,,310,8,11,12,45,41,
폴바셋,아이스 딥 초콜릿 라떼,베버리지,,,305,8,12,12,40,41,
폴바셋,아사이베리 요거트 프라페,베버리지,,,245,6,34,2.3,70,,
폴바셋,더블 초콜릿 프라페,베버리지,,,340,7,41,7,150,13,
폴바셋,제주 말차 라떼 프라페,베버리지,,,375,5,49,7,150,60,
폴바셋,망고 파인애플 프라페,베버리지,,,220,1,47,0.1,30,0,
폴바셋,커피칩 라떼 프라페,베버리지,,,305,6,33,6,150,257,
폴바셋,제주 말차 라떼,베버리지,,,235,8,27,6,125,95,
폴바셋,아이스 제주 말차 라떼,베버리지,,,190,6,23,4.1,90,95,
폴바셋,스팀 밀크,베버리지,,,195,9,15,7,150,0,
폴바셋,아이스 밀크,베버리지,,,260,12,20,12,200,0,
폴바셋,비트 사과 주스,베버리지,,,130,1,27,0.1,25,,
폴바셋,샤인머스캣 케일 주스,베버리지,,,140,1,30,0.1,20,,
폴바셋,VENTI 납작 복숭아 에이드,베버리지,,,245,1,51,0,27,0,
폴바셋,VENTI 제주 한라봉 에이드,베버리지,,,265,0.5,59,0.1,10,0,
폴바셋,납작복숭아 에이드,베버리지,,,190,0,40,0,20,0,
폴바셋,제주 레몬 에이드,베버리지,,,175,0,42,0,5,0,
폴바셋,제주 오션 레몬 에이드,베버리지,,,165,0,38,0,5,0,
폴바셋,제주 선셋 레몬 에이드,베버리지,,,190,0,45,0,10,0,
폴바셋,제주 한라봉 에이드,베버리지,,,200,0,45,0,5,0,
폴바셋,아이스 쿨 민트 허브차,베버리지,,,5,0,0,0,0,0,
폴바셋,쿨 민트 허브차,베버리지,,,5,0,0,0,0,0,
폴바셋,제주 한라봉 티,베버리지,,,155,0,37,0,5,0,
폴바셋,아이스 크림슨 펀치 과일차,베버리지,,,15,0,0,0,0,0,
폴바셋,크림슨 펀치 과일차,베버리지,,,15,0,0,0,0,0,
폴바셋,아이스 로얄 캐모마일 허브차,베버리지,,,5,0,0,0,0,0,
폴바셋,로얄 캐모마일 허브차,베버리지,,,5,0,0,0,0,0,
폴바셋,아이스 샤인 다즐링 홍차,베버리지,,,10,0,0,0,0,60,
폴바셋,샤인 다즐링 홍차,베버리지,,,10,0,0,0,0,60,
폴바셋,밀크 초콜릿,베버리지,,,340,9,43,9,150,10,
폴바셋,아이스 밀크 초콜릿,베버리지,,,270,7,35,7,110,10,
폴바셋,딸기 바나나 요거트,베버리지,,,225,8,34,2.5,90,0,
폴바셋,아이스크림 우리 팥 빙수 프라페,아이스크림,,,500,11,58,8,245,0,
폴바셋,아이스크림 망고 빙수 프라페,아이스크림,,,515,6,68,9,200,0,
폴바셋,아이스크림 우리 팥 눈꽃빙수,아이스크림,,,585,16,58,10,250,0,
폴바셋,아이스크림 망고 눈꽃빙수,아이스크림,,,520,8,74,9,235,0,
폴바셋,초당옥수수 혼합 아이스크림 (콘),아이스크림,,,310,6,24,5,110,,
폴바셋,초당옥수수 혼합 아이스크림 (컵),아이스크림,,,185,4,19,4.7,80,,
폴바셋,초당옥수수 아이스크림 토핑컵,아이스크림,,,250,4,24,4.9,195,0,
