restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
포케올데이,곡물밥 POKE,베이스,340,,464.59,14.36,8.1,3.93,698.87,,per_serving
포케올데이,메밀면 POKE,베이스,340,,414.06,13.13,13.23,3.85,1291.47,,per_serving
포케올데이,채소만 POKE,베이스,270,,289.69,9.5,8.02,3.85,715.92,,per_serving
포케올데이,비건 (곡물밥) POKE,베이스,315,,439.23,11.71,7.32,3.94,410.22,,per_serving
포케올데이,비건 (메밀면) POKE,베이스,315,,388.7,10.49,12.45,3.86,1002.82,,per_serving
포케올데이,비건 (채소만) POKE,베이스,245,,264.33,6.85,7.25,3.86,427.27,,per_serving
포케올데이,저당 제육,메인 토핑,70,,132,11,1,3,350,,per_serving
포케올데이,저당 갈비,메인 토핑,70,,138,10,1,2.9,343,,per_serving
포케올데이,고추장 육회,메인 토핑,70,,130.2,11.2,3.5,0.63,442.4,,per_serving
포케올데이,연어,메인 토핑,60,,60.18,12.36,0,0,57,,per_serving
포케올데이,연어 스테이크,메인 토핑,70,,96,15,1,0.9,140,,per_serving
포케올데이,스파이시 연어,메인 토핑,60,,64.06,9.76,2.8,0,207.36,,per_serving
포케올데이,저당 스파이시 오리엔탈,소스,35,,20,1,1.5,0,530,,per_serving
포케올데이,스리라차 마요,소스,35,,168,0.4,5.1,2.6,228.5,,per_serving
포케올데이,참깨 간장,소스,35,,50,0.1,8,0,584.8,,per_serving
포케올데이,와사비 간장,소스,35,,42,0.2,7.8,0,766.7,,per_serving
포케올데이,유자 간장,소스,35,,80,0.2,11.2,0,364.7,,per_serving
포케올데이,네오 쌈장,소스,35,,112,1.9,7,1,450.4,,per_serving
포케올데이,비건 스리라차,소스,35,,80,0.5,5.9,0.7,324.9,,per_serving
포케올데이,비건 크리미 어니언,소스,35,,67,0.2,5.6,1,246.6,,per_serving
포케올데이,저당 참깨 소스,소스,35,,136.15,0.74,0.44,1.43,277.15,,per_serving
포케올데이,(추가) 야채,추가 토핑,30,,8.31,0.36,0,0,24.45,,per_serving
포케올데이,(추가) 곡물밥,추가 토핑,100,,183.21,5.23,0.08,0.08,7.4,,per_serving
포케올데이,(추가) 메밀면,추가 토핑,100,,132.68,4,5.2,0,600,,per_serving
포케올데이,김페스토,추가 토핑,10,,66.8,1,0.18,0.94,63.7,,per_serving
포케올데이,양파후레이크,추가 토핑,20,,65.8,0.48,5,0,43,,per_serving
포케올데이,스위트콘,추가 토핑,20,,15.94,0.34,0.7,0,41.2,,per_serving
포케올데이,게살샐러드,추가 토핑,30,,26.46,2.58,0.78,0,223.5,,per_serving
포케올데이,아보카도,추가 토핑,50,,101.55,1.25,0.35,1.6,3.5,,per_serving
포케올데이,초계란말이,추가 토핑,,,23.19,2.13,0.06,0.29,107.33,,per_serving
포케올데이,해초 샐러드,추가 토핑,35,,24.12,0.63,0,0.32,88.2,,per_serving
포케올데이,당근 라페,추가 토핑,50,,52.5,0,5.5,0.5,629,,per_serving
포케올데이,고구마큐브,추가 토핑,70,,110.17,0.77,10.14,0,3.5,,per_serving
포케올데이,단호박 무스,추가 토핑,70,,124.46,0.7,5.67,1.4,82.6,,per_serving
포케올데이,낫또,추가 토핑,,,113.5,9,2.45,0.8,3.5,,per_serving
