restaurant,menu_name,menu_category,calorie_kcal,carb_g,sugar_g,protein_g,fat_g,saturated_fat_g,sodium_mg,menu_item_idx
샐러디,탄단지 샐러디,샐러디,322.9,34.3,17.6,17.9,13.1,2.0,225.3,42
샐러디,그라브락스 연어 포케볼,그레인볼,535.6,61.6,4.4,21.8,22.6,4.4,445.1,113
샐러디,그라브락스 연어 파스타 누들볼,누들볼,346.2,33.3,3.6,20.0,14.4,2.1,609.9,111
샐러디,닭다리살 MAX 프로틴 박스,프로틴박스,758.7,96.6,7.7,43.2,22.3,7.4,885.9,87
샐러디,[프로틴]바질크림 치킨 샌드위치,랩&샌드위치,442.8,53.6,7.1,23.9,14.2,3.1,774.2,155
샐러디,채소볼,나만의 샐러디,10.5,1.4,0.5,0.9,0.2,0.0,7.9,137
샐러디,치킨 콥 샐러디,샐러디,209.1,7.6,2.1,23.9,8.7,3.5,404.7,41
샐러디,로스트 닭다리살 샐러디,샐러디,259.2,29.7,12.2,13.2,9.6,3.9,471.9,62
샐러디,그라브락스 연어 샐러디,샐러디,290.3,6.4,3.7,20.8,19.8,3.5,441.0,44
샐러디,단호박 노릇두부 샐러디,샐러디,214.6,28.1,12.4,6.8,8.4,1.1,214.9,40
샐러디,타코 쉬림프 샐러디,샐러디,192.1,11.6,2.9,15.7,9.2,3.0,572.6,143
샐러디,칠리베이컨 포케볼,그레인볼,485.2,61.7,4.5,18.7,18.0,5.9,268.1,45
샐러디,우삼겹 포케볼,그레인볼,618.1,68.0,6.2,21.2,29.8,8.6,226.0,46
샐러디,청양간장 두부 비빔밥,그레인볼,604.0,71.7,6.0,17.8,28.1,3.7,923.2,47
샐러디,바베큐닭다리살 포케볼,그레인볼,557.3,72.5,8.2,26.6,17.7,5.9,586.2,48
샐러디,고추장제육 포케볼,그레인볼,468.8,70.4,9.3,20.2,12.6,3.6,474.1,152
샐러디,우삼겹메밀 누들볼,누들볼,406.6,36.1,5.0,18.0,21.2,6.1,350.3,39
샐러디,고추장제육 들기름파스타 누들볼,누들볼,350.7,48.2,7.5,17.5,10.5,1.8,627.8,124
샐러디,고추장제육 간장메밀 누들볼,누들볼,412.1,49.2,12.4,20.2,15.7,2.8,1612.0,151
샐러디,소고기 비빔메밀 누들볼,누들볼,398.8,32.0,4.0,23.8,19.0,5.6,354.7,123
샐러디,치킨 MAX 프로틴 파스타,프로틴박스,707.9,66.2,6.1,55.1,23.7,6.0,697.0,88
샐러디,우삼겹 MAX 프로틴 박스,프로틴박스,900.7,87.6,11.5,39.4,43.7,16.3,565.4,89
샐러디,[프로틴]치킨 반미 샌드위치,랩&샌드위치,484.0,60.5,11.7,22.8,16.9,3.4,853.8,154
샐러디,스파이시 쉬림프 샌드위치,랩&샌드위치,463.7,55.4,8.7,18.7,18.5,4.4,1176.4,150
샐러디,불고기 반미 샌드위치,랩&샌드위치,578.7,61.3,14.1,18.7,28.9,8.1,899.0,149
샐러디,[프로틴]프레시 잠봉 샌드위치,랩&샌드위치,493.3,54.2,8.5,20.0,21.7,5.2,1135.5,133
샐러디,클래식 치킨 샌드위치,랩&샌드위치,471.1,61.1,13.4,17.5,17.8,3.4,735.4,125
샐러디,[프로틴]비프에그마요 샌드위치,랩&샌드위치,712.6,64.9,15.1,25.5,38.6,11.2,1047.3,127
샐러디,[프로틴]바질 레몬연어 샌드위치,랩&샌드위치,576.5,71.0,17.0,20.8,22.7,4.0,1023.0,128
샐러디,칠리베이컨 곡물랩,랩&샌드위치,730.4,75.5,12.9,21.5,37.6,10.9,1067.1,57
샐러디,고소우삼겹 곡물랩,랩&샌드위치,704.7,79.1,6.5,24.0,32.5,9.3,1089.8,58
샐러디,바베큐닭다리살 곡물랩,랩&샌드위치,717.3,76.8,13.5,26.1,34.0,9.7,1288.1,59
샐러디,멕시칸 랩,랩&샌드위치,607.4,52.5,10.9,19.4,35.1,9.9,931.2,53
샐러디,그라브락스 연어 랩,랩&샌드위치,475.4,40.0,8.9,17.6,27.6,6.1,1014.2,132
샐러디,시저치킨 랩,랩&샌드위치,500.9,46.2,12.4,21.8,25.7,6.3,877.4,54
샐러디,로스트닭다리살 랩,랩&샌드위치,549.6,46.3,10.3,19.8,31.9,9.2,1206.3,55
샐러디,에그마요 랩,랩&샌드위치,661.6,49.7,5.3,19.4,42.8,9.8,1054.3,91
샐러디,바질치킨 랩,랩&샌드위치,523.9,44.7,12.6,24.2,26.8,6.8,932.4,146
샐러디,타코 쉬림프 랩,랩&샌드위치,501.1,59.4,15.5,15.4,22.4,6.0,1123.1,147
샐러디,바질크림 잠봉 랩,랩&샌드위치,462.9,41.8,10.9,16.4,24.5,6.9,1068.9,153
샐러디,포케볼,나만의 샐러디,271.1,50.6,0.4,7.9,4.2,0.7,53.0,138
샐러디,메밀면볼,나만의 샐러디,144.2,25.8,0.4,5.8,1.9,0.3,182.8,139
샐러디,파스타볼,나만의 샐러디,157.7,28.0,0.4,5.2,2.8,0.3,6.3,140
