restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
스타벅스,나이트로 바닐라 크림,콜드 브루 커피,,,80,1,10,2,40,232,,
스타벅스,나이트로 콜드 브루,콜드 브루 커피,,,5,0,0,0,5,245,,
스타벅스,돌체 콜드 브루,콜드 브루 커피,,,170,4,17,6,65,130,,
스타벅스,리저브 나이트로,콜드 브루 커피,,,5,0,0,0,0,190,,
스타벅스,리저브 콜드 브루,콜드 브루 커피,,,5,0,0,0,0,190,,
스타벅스,막걸리향 크림 콜드 브루,콜드 브루 커피,,,300,3,32,13,65,53,,
스타벅스,민트 콜드 브루,콜드 브루 커피,,,100,0,23,0,0,415,,
스타벅스,바닐라 아인슈페너 콜드 브루,콜드 브루 커피,,,115,1,7,6,20,134,,
스타벅스,바닐라 크림 콜드 브루,콜드 브루 커피,,,120,3,10,5,35,135,,
스타벅스,베르가못 콜드 브루,콜드 브루 커피,,,125,3,22,1.7,45,130,,
스타벅스,블랙&화이트 콜드 브루,콜드 브루 커피,,,175,1,12,12,70,190,,
스타벅스,서울 막걸리향 콜드 브루,콜드 브루 커피,,,205,3,38,2.1,55,79,,
스타벅스,스모크드 콜드 패션드,콜드 브루 커피,,,30,0,6,0,0,135,,
스타벅스,시그니처 더 블랙 콜드 브루,콜드 브루 커피,,,25,0,0,0,50,680,,
스타벅스,여수 윤슬 헤이즐넛 콜드 브루,콜드 브루 커피,,,240,5,27,9,80,53,,
스타벅스,오트 콜드 브루,콜드 브루 커피,,,110,1,14,3,85,65,,
스타벅스,제주 비자림 리저브 콜드 브루,콜드 브루 커피,,,205,8,26,4.1,100,250,,
스타벅스,콜드 브루,콜드 브루 커피,,,5,0,0,0,25,360,,
스타벅스,콜드 브루 몰트,콜드 브루 커피,,,505,7,41,20,150,190,,
스타벅스,콜드 브루 플로트,콜드 브루 커피,,,225,3,18,10,70,190,,
스타벅스,프렌치 바닐라 콜드 브루,콜드 브루 커피,,,165,4,26,2.7,150,65,,
스타벅스,브루드 커피,브루드 커피,,,5,0,0,0,15,260,,
스타벅스,스위트 밀크 커피,브루드 커피,,,185,4,24,4.1,75,60,,
스타벅스,아이스 브루드 커피,브루드 커피,,,5,0,0,0,10,140,,
스타벅스,스타벅스 에어로카노,에스프레소,,,10,1,0,0,0,150,,
스타벅스,블랙 글레이즈드 라떼,에스프레소,,,345,9,35,11,200,75,,
스타벅스,아이스 블랙 글레이즈드 라떼,에스프레소,,,290,6,31,10,160,75,,
스타벅스,피넛 크림 쿠키 아인슈페너,에스프레소,,,345,7,24,6,140,75,,
스타벅스,에스프레소 콘 파나,에스프레소,,,30,1,0,2,5,75,,
스타벅스,에스프레소 마키아또,에스프레소,,,10,0,0,0,0,75,,
스타벅스,스타벅스 1호점 카페 아메리카노,에스프레소,,,10,1,0,0,0,210,,
스타벅스,스타벅스 자몽 허니 에어로카노,에스프레소,,,105,1,22,0,5,150,,
스타벅스,아이스 스타벅스 1호점 카페 아메리카노,에스프레소,,,10,1,0,0,0,210,,
스타벅스,아이스 카페 아메리카노,에스프레소,,,10,1,0,0,5,150,,
스타벅스,카페 아메리카노,에스프레소,,,10,1,0,0,5,150,,
스타벅스,아이스 우베 코코넛 마키아또,에스프레소,,,245,4,20,5,85,105,,
스타벅스,아이스 카라멜 마키아또,에스프레소,,,190,6,22,4.6,110,75,,
스타벅스,카라멜 마키아또,에스프레소,,,200,8,22,5,130,75,,
스타벅스,아이스 카푸치노,에스프레소,,,110,6,9,3.5,90,75,,
스타벅스,카푸치노,에스프레소,,,110,6,8,3,70,75,,
스타벅스,라벤더 카페 브레베,에스프레소,,,400,8,30,22,140,105,,
스타벅스,밀크카라멜 라떼,에스프레소,,,310,8,22,13,280,75,,
