restaurant,menu_name,menu_name_en,menu_category,weight_g,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,menu_item_idx
서브웨이,로스트 치킨,,샌드위치,237,300,26,8.7,1.3,605,1401
서브웨이,베지,,샌드위치,164,209,9.2,7.6,0.6,262,1403
서브웨이,로티세리 바비큐 치킨,,샌드위치,249,327,29.1,7.8,2.5,542,1406
서브웨이,치킨 베이컨 아보카도,,샌드위치,246,355,20.2,9.0,3.2,940,1448
서브웨이,치킨 슬라이스,,샌드위치,221,265,18.6,8.7,0.9,751,1449
서브웨이,에그 슬라이스,,샌드위치,214,279,15.2,7.6,2.3,447,1469
서브웨이,써브웨이 클럽,,샌드위치,216,299,19.8,8.53,2.4,853,1511
서브웨이,안창 비프&머쉬룸,,샌드위치,안창비프&머쉬룸(F):235g,292,16.5,8,2.5,598,1514
서브웨이,안창 비프,,샌드위치,235,342,21.6,8.3,4.3,830,1515
서브웨이,스파이시 쉬림프,,샌드위치,213,245,16.5,9.1,0.9,570,1518
서브웨이,스테이크 & 치즈,,샌드위치,245,355,28.1,8.8,4.2,780,1519
서브웨이,쉬림프,,샌드위치,209,241,16.3,7.9,0.6,415,1520
서브웨이,치킨 데리야끼,,샌드위치,255,314,26.5,10.1,1.2,698,1521
서브웨이,스파이시 이탈리안,,샌드위치,224,464,20.7,8.7,9.1,1250,1522
서브웨이,풀드포크 바비큐,,샌드위치,235,327,24.8,7.8,2.1,689,1524
서브웨이,머쉬룸,,샌드위치,머쉬룸(F):235g,245,11.8,7.7,0.6,376,1526
서브웨이,이탈리안 비엠티,,샌드위치,228,388,21,8.6,5.9,1064,1528
서브웨이,비엘티,,샌드위치,182,300,15.9,7.9,3.7,666,1529
서브웨이,에그마요,,샌드위치,238,416,16.4,7.7,4.8,554,1530
서브웨이,참치,,샌드위치,238,316,26.9,7.6,1.4,535,1532
서브웨이,잠봉,,샌드위치,215,376,18.3,6,4.7,621,1570
서브웨이,잠봉 플러스,,샌드위치,251,475,24.3,6.4,7.3,828,1571
서브웨이,피자썹,,샌드위치,205,551,22.9,5.9,9.5,1183,1611
서브웨이,아기맹새우,,샌드위치,301,511,22,10.5,6.4,1028,1612
서브웨이,로스트 치킨 아보카도,,샌드위치,267,356,26.6,9,2.1,694,1613
