restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
설빙,두바이초코설빙,설빙,,,1260,19,95,36,270,,
설빙,자.망.코.설빙,설빙,,,715,10,93,14,150,,
설빙,밀크팥메론설빙,설빙,,,900,19,125,14,350,,
설빙,요거치즈메론설빙,설빙,,,935,42,118,21,340,,
설빙,수박화채설빙,설빙,,,660,12,116,9,140,,
설빙,과일화채설빙,설빙,,,750,14,127,12,210,,
설빙,팥인절미메론반반설빙,설빙,,,1015,26,119,20,510,,
설빙,인절미메론반반설빙,설빙,,,825,22,91,20,400,,
설빙,애플망고메론반반설빙,설빙,,,965,18,118,27,400,,
설빙,팥인절미망고반반설빙,설빙,,,965,29,114,16,440,,
설빙,인절미망고반반설빙,설빙,,,810,22,97,17,320,,
설빙,흑절미설빙,설빙,,,740,20,44,12,420,,
설빙,팥흑절미설빙,설빙,,,1000,26,52,12,620,,
설빙,팥절미말차설빙,설빙,,,1190,33,104,34,400,156.9,
설빙,초코말차설빙,설빙,,,1485,22,144,40,390,155.9,
설빙,벌집꿀수박설빙,설빙,,,935,12,140,13,150,,
설빙,벌집꿀메론설빙,설빙,,,965,13,141,15,260,,
설빙,팥인절미컵설빙,설빙,,,430,13,54,5,300,,
설빙,애플망고치즈컵설빙,설빙,,,370,7,49,7.8,140,,
설빙,오레오초코컵설빙,설빙,,,355,10,42,7,130,,
설빙,우베베리치즈설빙,설빙,,,985,16,116,22,350,,
설빙,순수요거꿀자몽설빙,설빙,,,840,14,115,16,250,,
설빙,치즈설빙,설빙,,,790,18,69,23,590,,
설빙,티라미수설빙,설빙,,,985,20,90,29,460,96,
설빙,순수요거블루베리설빙,설빙,,,985,14,149,15,420,,
설빙,오레오초코몬스터설빙,설빙,,,1345,23,111,29,720,,
설빙,딥초코브라우니설빙,설빙,,,1160,21,64,26,500,,
설빙,애플망고치즈설빙,설빙,,,910,19,116,19,350,,
설빙,인절미아이스크림설빙,설빙,,,680,24,65,14,265,,
설빙,팥인절미설빙,설빙,,,710,26,76,14,330,,
설빙,인절미설빙,설빙,,,510,20,47,10,220,,
설빙,캐모마일,음료,,,0,0,0,0,0,,
설빙,애플망고스무디,음료,,,275,1,56,0,20,,
설빙,얼그레이,음료,,,0,0,0,0,0,7.5,
설빙,생수박주스,음료,,,115,1,24,0,5,,
설빙,녹차,음료,,,0,0,0,0,0,8.5,
설빙,아이스티Venti,음료,,,20,0,5,0,0,,
설빙,말차라떼,음료,,,260,8,36,5,100,62.1,
설빙,아이스티,음료,,,10,0,3,0,0,,
설빙,생메론밀크스무디,음료,,,275,5,48,3,75,,
설빙,우베라떼,음료,,,250,32,40,4.3,105,,
설빙,우베말차라떼,음료,,,245,7,29,4.5,85,0.5,
설빙,우베카페라떼,음료,,,250,7,30,4.4,85,1.6,
설빙,딸기요거트스무디,음료,,,245,4,47,2.1,45,,
설빙,블루베리요거트스무디,음료,,,320,7,49,2.9,115,,
설빙,플레인요거트스무디,음료,,,285,6,52,3,115,,
설빙,허니자몽차,음료,,,145,1,30,0,15,,
설빙,애플망고에이드,음료,,,185,0,39,0,20,,
설빙,허니자몽에이드,음료,,,135,1,29,0,10,,
설빙,딸기에이드,음료,,,165,0,40,0,5,,
설빙,레몬에이드,음료,,,205,0,49,0,60,,
설빙,아이스초코,음료,,,379,10,38,11,80,,
