restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
뚜레쥬르,카페 모카 크림빵(대),빵,326,,1355,23,70,41,860,,
뚜레쥬르,미니 햄 치즈롤(10개입),빵,210,,565,23,6,9,1270,,
뚜레쥬르,리얼 초코 소라빵,빵,68,,205,4,11,4.2,230,,
뚜레쥬르,땅콩크림소보로,빵,102,,455,8,20,14,310,,
뚜레쥬르,크림치즈 월넛 브레드,빵,167,,630,15,18,14,800,,
뚜레쥬르,한입 두입 미니 단팥빵,빵,160,,492,13,42,2.5,423,,
뚜레쥬르,겹겹이 밀크롤인,빵,160,,65,2,3,0.6,60,,
뚜레쥬르,진짜 고소한 땅콩크림빵,빵,67,,345,8,8,10,240,,
뚜레쥬르,크림코르네,빵,54,,145,2,7,6,130,,
뚜레쥬르,미니치즈롤,빵,198,,605,25,6,10,1190,,
뚜레쥬르,매직모카크림빵,빵,342,,1445,23,73,46,870,,
뚜레쥬르,순수한맛 순우유롤(봉),빵,208,,695,17,20,11,930,,
뚜레쥬르,추억의 사라다 고로케,빵,130,,385,6,6,6,420,,
뚜레쥬르,겹겹이 치즈스틱(6개입),빵,120,,65,2,3,0.6,70,,
뚜레쥬르,TLJ 옥수수식빵,빵,513,,1495,43,42,16,1910,,
뚜레쥬르,호박 패스트리 식빵,빵,341,,1160,28,37,31,1710,,
뚜레쥬르,초코 마카롱 도넛,빵,52,,215,4,3,6,170,,
뚜레쥬르,딸기 마카롱 도넛,빵,52,,225,4,3,7,160,,
뚜레쥬르,폭신폭신 모닝롤,빵,180,,680,18,28,10,920,,
뚜레쥬르,후레쉬 크림빵,빵,78,,315,5,14,9,270,,
뚜레쥬르,새콤달콤 유자파이,빵,107,,390,6,18,17,350,,
뚜레쥬르,오리지널 크라상,빵,58,,255,4,8,9,240,,
뚜레쥬르,아몬드 크라상,빵,118,,520,9,25,14,330,,
뚜레쥬르,오리지널 생크림 크라상,빵,78,,335,5,9,14,230,,
